"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CARHUAZ (000)",12182,71,3839,4483,1469,541,248,107,24,,1400
"Catolica (001)",11381,69,3575,4195,1376,501,230,94,22,,1319
"Cristiana / Evangelica (002)",695,2,233,253,78,29,18,10,1,,71
"Otra (003)",71,,22,21,11,9,,2,1,,5
"Ninguna (004)",35,,9,14,4,2,,1,,,5
,,,,,,,,,,,
"URBANA (006)",4221,19,1179,1443,594,271,120,54,8,,533
"Catolica (007)",3910,19,1094,1330,549,249,110,47,7,,505
"Cristiana / Evangelica (008)",245,,68,91,38,13,10,4,,,21
"Otra (009)",42,,10,15,4,7,,2,1,,3
"Ninguna (010)",24,,7,7,3,2,,1,,,4
,,,,,,,,,,,
"RURAL (012)",7961,52,2660,3040,875,270,128,53,16,,867
"Catolica (013)",7471,50,2481,2865,827,252,120,47,15,,814
"Cristiana / Evangelica (014)",450,2,165,162,40,16,8,6,1,,50
"Otra (015)",29,,12,6,7,2,,,,,2
"Ninguna (016)",11,,2,7,1,,,,,,1
