"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia HUAYTARA (000)",17136,2309,2559,3152,2875,2122,4119
"Conviviente (001)",3849,47,743,1407,947,374,331
"Separado(a) (002)",503,3,72,102,122,84,120
"Casado(a) (003)",6410,6,146,871,1457,1368,2562
"Viudo(a) (004)",1102,,2,20,49,139,892
"Divorciado(a) (005)",76,,2,7,14,21,32
"Soltero(a) (006)",5196,2253,1594,745,286,136,182
"Hombres (008)",9099,1217,1310,1802,1643,1130,1997
"Conviviente (009)",2085,19,286,794,575,227,184
"Separado(a) (010)",168,1,6,26,48,29,58
"Casado(a) (011)",3556,3,54,474,811,758,1456
"Viudo(a) (012)",259,,,6,15,33,205
"Divorciado(a) (013)",40,,,6,6,12,16
"Soltero(a) (014)",2991,1194,964,496,188,71,78
"Mujeres (016)",8037,1092,1249,1350,1232,992,2122
"Conviviente (017)",1764,28,457,613,372,147,147
"Separado(a) (018)",335,2,66,76,74,55,62
"Casado(a) (019)",2854,3,92,397,646,610,1106
"Viudo(a) (020)",843,,2,14,34,106,687
"Divorciado(a) (021)",36,,2,1,8,9,16
"Soltero(a) (022)",2205,1059,630,249,98,65,104
,,,,,,,
"URBANA (024)",5064,772,865,880,862,608,1077
"Conviviente (025)",1029,16,216,390,264,82,61
"Separado(a) (026)",170,1,21,28,52,27,41
"Casado(a) (027)",1772,,39,215,431,421,666
"Viudo(a) (028)",300,,1,5,11,38,245
"Divorciado(a) (029)",21,,,1,7,6,7
"Soltero(a) (030)",1772,755,588,241,97,34,57
"Hombres (032)",2592,419,446,455,465,309,498
"Conviviente (033)",518,7,81,198,152,49,31
"Separado(a) (034)",65,,2,10,25,11,17
"Casado(a) (035)",923,,10,99,218,220,376
"Viudo(a) (036)",65,,,1,3,13,48
"Divorciado(a) (037)",11,,,1,2,4,4
"Soltero(a) (038)",1010,412,353,146,65,12,22
"Mujeres (040)",2472,353,419,425,397,299,579
"Conviviente (041)",511,9,135,192,112,33,30
"Separado(a) (042)",105,1,19,18,27,16,24
"Casado(a) (043)",849,,29,116,213,201,290
"Viudo(a) (044)",235,,1,4,8,25,197
"Divorciado(a) (045)",10,,,,5,2,3
"Soltero(a) (046)",762,343,235,95,32,22,35
,,,,,,,
"RURAL (048)",12072,1537,1694,2272,2013,1514,3042
"Conviviente (049)",2820,31,527,1017,683,292,270
"Separado(a) (050)",333,2,51,74,70,57,79
"Casado(a) (051)",4638,6,107,656,1026,947,1896
"Viudo(a) (052)",802,,1,15,38,101,647
"Divorciado(a) (053)",55,,2,6,7,15,25
"Soltero(a) (054)",3424,1498,1006,504,189,102,125
"Hombres (056)",6507,798,864,1347,1178,821,1499
"Conviviente (057)",1567,12,205,596,423,178,153
"Separado(a) (058)",103,1,4,16,23,18,41
"Casado(a) (059)",2633,3,44,375,593,538,1080
"Viudo(a) (060)",194,,,5,12,20,157
"Divorciado(a) (061)",29,,,5,4,8,12
"Soltero(a) (062)",1981,782,611,350,123,59,56
"Mujeres (064)",5565,739,830,925,835,693,1543
"Conviviente (065)",1253,19,322,421,260,114,117
"Separado(a) (066)",230,1,47,58,47,39,38
"Casado(a) (067)",2005,3,63,281,433,409,816
"Viudo(a) (068)",608,,1,10,26,81,490
"Divorciado(a) (069)",26,,2,1,3,7,13
"Soltero(a) (070)",1443,716,395,154,66,43,69
