"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia MELGAR (000)",65258,11222,6152,1079,47087
"Hombres (001)",31616,5197,3347,698,22616
"Mujeres (002)",33642,6025,2805,381,24471
"PEA (003)",25956,1503,3105,666,20924
"Hombres (004)",15451,689,2055,517,12417
"Mujeres (005)",10505,814,1050,149,8507
"Ocupada (006)",24305,1432,3066,651,19398
"Hombres (007)",14281,650,2031,504,11323
"Mujeres (008)",10024,782,1035,147,8075
"Desocupada (009)",1651,71,39,15,1526
"Hombres (010)",1170,39,24,13,1094
"Mujeres (011)",481,32,15,2,432
"No PEA (012)",39302,9719,3047,413,26163
"Hombres (013)",16165,4508,1292,181,10199
"Mujeres (014)",23137,5211,1755,232,15964
,,,,,
"URBANA (018)",31337,4664,4402,553,21753
"Hombres (019)",14988,2169,2235,335,10274
"Mujeres (020)",16349,2495,2167,218,11479
"PEA (021)",11290,566,2063,280,8404
"Hombres (022)",6731,273,1219,209,5048
"Mujeres (023)",4559,293,844,71,3356
"Ocupada (024)",10262,520,2025,265,7475
"Hombres (025)",6039,251,1196,196,4414
"Mujeres (026)",4223,269,829,69,3061
"Desocupada (027)",1028,46,38,15,929
"Hombres (028)",692,22,23,13,634
"Mujeres (029)",336,24,15,2,295
"No PEA (030)",20047,4098,2339,273,13349
"Hombres (031)",8257,1896,1016,126,5226
"Mujeres (032)",11790,2202,1323,147,8123
,,,,,
"RURAL (036)",33921,6558,1750,526,25334
"Hombres (037)",16628,3028,1112,363,12342
"Mujeres (038)",17293,3530,638,163,12992
"PEA (039)",14666,937,1042,386,12520
"Hombres (040)",8720,416,836,308,7369
"Mujeres (041)",5946,521,206,78,5151
"Ocupada (042)",14043,912,1041,386,11923
"Hombres (043)",8242,399,835,308,6909
"Mujeres (044)",5801,513,206,78,5014
"Desocupada (045)",623,25,1,,597
"Hombres (046)",478,17,1,,460
"Mujeres (047)",145,8,,,137
"No PEA (048)",19255,5621,708,140,12814
"Hombres (049)",7908,2612,276,55,4973
"Mujeres (050)",11347,3009,432,85,7841
