"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CAYLLOMA (000)",72062,1393,22121,19087,14453,10302,4706
"Casa independiente (001)",58485,1115,17880,15388,11702,8464,3936
"Departamento en edificio (002)",274,1,73,92,81,23,4
"Vivienda en quinta (003)",619,13,204,200,140,47,15
"Vivienda en casa de vecindad (004)",2192,54,684,780,427,188,59
"Choza o cabaña (005)",5685,113,1616,1263,1072,1061,560
"Vivienda improvisada (006)",4633,95,1610,1318,978,502,130
"Local no destinado para hab.humana (007)",137,2,45,35,43,11,1
"Otro tipo (008)",37,,9,11,10,6,1
,,,,,,,
"URBANA (009)",48162,923,15234,13138,9910,6253,2704
"Casa independiente (010)",40287,758,12613,10706,8236,5479,2495
"Departamento en edificio (011)",274,1,73,92,81,23,4
"Vivienda en quinta (012)",619,13,204,200,140,47,15
"Vivienda en casa de vecindad (013)",2192,54,684,780,427,188,59
"Vivienda improvisada (015)",4633,95,1610,1318,978,502,130
"Local no destinado para hab.humana (016)",123,2,41,32,38,10,
"Otro tipo (017)",34,,9,10,10,4,1
,,,,,,,
"RURAL (018)",23900,470,6887,5949,4543,4049,2002
"Casa independiente (019)",18198,357,5267,4682,3466,2985,1441
"Choza o cabaña (023)",5685,113,1616,1263,1072,1061,560
"Local no destinado para hab.humana (025)",14,,4,3,5,1,1
"Otro tipo (026)",3,,,1,,2,
