"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia PICOTA (000)",32330,7918,9803,7702,5063,1844
"Sin nivel (001)",1640,230,237,373,461,339
"Educación inicial (002)",485,455,20,10,,
"Primaria (003)",18287,6033,3654,3995,3253,1352
"Secundaria (004)",9842,1200,5048,2468,1016,110
"Superior no univ. incompleta (005)",597,,344,175,66,12
"Superior no univ. completa (006)",870,,291,423,139,17
"Superior univ. incompleta (007)",236,,113,78,44,1
"Superior univ. completa (008)",373,,96,180,84,13
"PEA (010)",14767,519,5059,5181,3290,718
"Sin nivel (011)",573,14,100,173,199,87
"Educación inicial (012)",17,7,6,4,,
"Primaria (013)",7584,385,2068,2526,2044,561
"Secundaria (014)",5026,113,2360,1726,773,54
"Superior no univ. incompleta (015)",390,,178,149,55,8
"Superior no univ. completa (016)",716,,213,383,116,4
"Superior univ. incompleta (017)",152,,53,64,35,
"Superior univ. completa (018)",309,,81,156,68,4
"Ocupada (020)",14442,503,4897,5093,3241,708
"Sin nivel (021)",565,14,96,170,198,87
"Educación inicial (022)",17,7,6,4,,
"Primaria (023)",7443,371,2020,2485,2015,552
"Secundaria (024)",4894,111,2277,1693,760,53
"Superior no univ. incompleta (025)",380,,170,147,55,8
"Superior no univ. completa (026)",689,,197,376,112,4
"Superior univ. incompleta (027)",152,,53,64,35,
"Superior univ. completa (028)",302,,78,154,66,4
"Desocupada (030)",325,16,162,88,49,10
"Sin nivel (031)",8,,4,3,1,
