"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia LIMA (000)",6101271,268312,1514079,775679,3626756
"Conviviente (001)",1308977,63579,234756,89231,928219
"Separado(a) (002)",232528,9825,43838,19769,160906
"Casado(a) (003)",1781670,59763,674283,312994,780575
"Viudo(a) (004)",207705,7365,76343,27772,99043
"Divorciado(a) (005)",50107,1491,17003,10619,22736
"Soltero(a) (006)",2520284,126289,467856,315294,1635277
"Hombres (008)",2944954,116344,719226,407960,1743795
"Conviviente (009)",642377,22679,124323,54529,444851
"Separado(a) (010)",73944,2230,14793,8013,49557
"Casado(a) (011)",866788,26876,332899,166953,365225
"Viudo(a) (012)",47672,1781,17426,6146,22801
"Divorciado(a) (013)",19582,577,6075,3965,9504
"Soltero(a) (014)",1294591,62201,223710,168354,851857
"Mujeres (016)",3156317,151968,794853,367719,1882961
"Conviviente (017)",666600,40900,110433,34702,483368
"Separado(a) (018)",158584,7595,29045,11756,111349
"Casado(a) (019)",914882,32887,341384,146041,415350
"Viudo(a) (020)",160033,5584,58917,21626,76242
"Divorciado(a) (021)",30525,914,10928,6654,13232
"Soltero(a) (022)",1225693,64088,244146,146940,783420
,,,,,
"URBANA (024)",6093906,267537,1513268,775433,3621217
"Conviviente (025)",1306479,63327,234515,89180,926264
"Separado(a) (026)",232296,9804,43818,19754,160730
"Casado(a) (027)",1779844,59642,673953,312901,779290
"Viudo(a) (028)",207513,7354,76313,27758,98906
"Divorciado(a) (029)",50081,1489,17000,10619,22715
"Soltero(a) (030)",2517693,125921,467669,315221,1633312
"Hombres (032)",2941014,116022,718721,407806,1740831
"Conviviente (033)",641082,22582,124170,54494,443841
"Separado(a) (034)",73854,2229,14779,8002,49493
"Casado(a) (035)",865839,26827,332701,166897,364576
"Viudo(a) (036)",47613,1778,17415,6142,22760
"Divorciado(a) (037)",19564,576,6073,3965,9489
"Soltero(a) (038)",1293062,62030,223583,168306,850672
"Mujeres (040)",3152892,151515,794547,367627,1880386
"Conviviente (041)",665397,40745,110345,34686,482423
"Separado(a) (042)",158442,7575,29039,11752,111237
"Casado(a) (043)",914005,32815,341252,146004,414714
"Viudo(a) (044)",159900,5576,58898,21616,76146
"Divorciado(a) (045)",30517,913,10927,6654,13226
"Soltero(a) (046)",1224631,63891,244086,146915,782640
,,,,,
"RURAL (048)",7365,775,811,246,5539
"Conviviente (049)",2498,252,241,51,1955
"Separado(a) (050)",232,21,20,15,176
"Casado(a) (051)",1826,121,330,93,1285
"Viudo(a) (052)",192,11,30,14,137
"Divorciado(a) (053)",26,2,3,,21
"Soltero(a) (054)",2591,368,187,73,1965
"Hombres (056)",3940,322,505,154,2964
"Conviviente (057)",1295,97,153,35,1010
"Separado(a) (058)",90,1,14,11,64
"Casado(a) (059)",949,49,198,56,649
"Viudo(a) (060)",59,3,11,4,41
"Divorciado(a) (061)",18,1,2,,15
"Soltero(a) (062)",1529,171,127,48,1185
"Mujeres (064)",3425,453,306,92,2575
"Conviviente (065)",1203,155,88,16,945
"Separado(a) (066)",142,20,6,4,112
"Casado(a) (067)",877,72,132,37,636
"Viudo(a) (068)",133,8,19,10,96
"Divorciado(a) (069)",8,1,1,,6
"Soltero(a) (070)",1062,197,60,25,780
