"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia OCROS (000)",8686,376,822,856,721,1323,1180,2257,1151
"Sabe leer y escribir (001)",7716,,635,854,720,1301,1142,2126,938
"No sabe leer y escribir (002)",970,376,187,2,1,22,38,131,213
"Hombres (004)",4512,175,419,441,395,715,624,1196,547
"Sabe leer y escribir (005)",4158,,326,439,395,708,609,1165,516
"No sabe leer y escribir (006)",354,175,93,2,,7,15,31,31
"Mujeres (008)",4174,201,403,415,326,608,556,1061,604
"Sabe leer y escribir (009)",3558,,309,415,325,593,533,961,422
"No sabe leer y escribir (010)",616,201,94,,1,15,23,100,182
,,,,,,,,,
"URBANA (012)",5026,199,457,456,407,732,694,1341,740
"Sabe leer y escribir (013)",4516,,354,455,406,723,675,1285,618
"No sabe leer y escribir (014)",510,199,103,1,1,9,19,56,122
"Hombres (016)",2595,88,249,239,216,402,359,708,334
"Sabe leer y escribir (017)",2413,,191,238,216,400,351,698,319
"No sabe leer y escribir (018)",182,88,58,1,,2,8,10,15
"Mujeres (020)",2431,111,208,217,191,330,335,633,406
"Sabe leer y escribir (021)",2103,,163,217,190,323,324,587,299
"No sabe leer y escribir (022)",328,111,45,,1,7,11,46,107
,,,,,,,,,
"RURAL (024)",3660,177,365,400,314,591,486,916,411
"Sabe leer y escribir (025)",3200,,281,399,314,578,467,841,320
"No sabe leer y escribir (026)",460,177,84,1,,13,19,75,91
"Hombres (028)",1917,87,170,202,179,313,265,488,213
"Sabe leer y escribir (029)",1745,,135,201,179,308,258,467,197
"No sabe leer y escribir (030)",172,87,35,1,,5,7,21,16
"Mujeres (032)",1743,90,195,198,135,278,221,428,198
"Sabe leer y escribir (033)",1455,,146,198,135,270,209,374,123
"No sabe leer y escribir (034)",288,90,49,,,8,12,54,75
