"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CAJAMARCA (000)",7746,4645,3101
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",1568,1568,
"Casa pensión (003)",86,74,12
"Hospital, clinica (004)",289,289,
"Cárcel, centro de readaptación social (005)",582,39,543
"Aldea infantil, orfelinato, etc (007)",104,104,
"Otro (008)",4104,1568,2536
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",1013,1003,10
