"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia PIURA (000)",299713,42925,81077,72277,103434
"Asiste actualmente (001)",199775,24077,77153,60401,38144
"No asiste (002)",99938,18848,3924,11876,65290
"Hombres (004)",150578,21923,41113,36409,51133
"Asiste actualmente (005)",101565,12216,39139,30995,19215
"No asiste (006)",49013,9707,1974,5414,31918
"Mujeres (008)",149135,21002,39964,35868,52301
"Asiste actualmente (009)",98210,11861,38014,29406,18929
"No asiste (010)",50925,9141,1950,6462,33372
,,,,,
"URBANA (012)",254902,36066,68373,61243,89220
"Asiste actualmente (013)",176839,21678,65806,53096,36259
"No asiste (014)",78063,14388,2567,8147,52961
"Hombres (016)",127420,18371,34702,30704,43643
"Asiste actualmente (017)",89601,10997,33413,27073,18118
"No asiste (018)",37819,7374,1289,3631,25525
"Mujeres (020)",127482,17695,33671,30539,45577
"Asiste actualmente (021)",87238,10681,32393,26023,18141
"No asiste (022)",40244,7014,1278,4516,27436
,,,,,
"RURAL (024)",44811,6859,12704,11034,14214
"Asiste actualmente (025)",22936,2399,11347,7305,1885
"No asiste (026)",21875,4460,1357,3729,12329
"Hombres (028)",23158,3552,6411,5705,7490
"Asiste actualmente (029)",11964,1219,5726,3922,1097
"No asiste (030)",11194,2333,685,1783,6393
"Mujeres (032)",21653,3307,6293,5329,6724
"Asiste actualmente (033)",10972,1180,5621,3383,788
"No asiste (034)",10681,2127,672,1946,5936
