"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia SATIPO",,,,,,,,
"Hogares (001)",42437,25912,11487,2822,333,3320,1161,13843
"Ocupantes presentes (002)",190821,117288,51384,12242,1414,14700,4542,61767
"Casa independiente",,,,,,,,
"Hogares (004)",24790,16775,9615,2359,291,2993,972,5875
"Ocupantes presentes (005)",108612,74628,43722,10331,1240,13340,3925,24391
"Departamento en edificio",,,,,,,,
"Hogares (007)",155,112,122,38,6,36,27,17
"Ocupantes presentes (008)",535,389,445,160,32,160,98,46
"Vivienda en quinta",,,,,,,,
"Hogares (010)",1040,671,661,174,26,142,100,173
"Ocupantes presentes (011)",3270,2154,2181,585,94,529,316,489
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",669,463,360,69,6,77,47,128
"Ocupantes presentes (014)",2410,1712,1354,228,24,312,150,442
"Choza o cabaña",,,,,,,,
"Hogares (016)",15409,7702,635,164,2,55,8,7495
"Ocupantes presentes (017)",74448,37552,3332,866,11,287,33,35799
"Vivienda improvisada",,,,,,,,
"Hogares (019)",133,79,67,12,2,12,4,35
"Ocupantes presentes (020)",537,338,277,53,13,60,15,128
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",64,36,20,4,,5,3,18
"Ocupantes presentes (023)",236,155,47,11,,12,5,62
"Otro tipo",,,,,,,,
"Hogares (025)",177,74,7,2,,,,102
"Ocupantes presentes (026)",773,360,26,8,,,,410
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",12457,8634,7901,2065,284,2614,1038,2026
"Ocupantes presentes (029)",51152,36179,33518,8593,1202,11316,4004,7482
"Casa independiente",,,,,,,,
"Hogares (031)",10424,7290,6670,1769,244,2342,857,1666
"Ocupantes presentes (032)",44314,31539,29210,7563,1039,10243,3420,6357
"Departamento en edificio",,,,,,,,
"Hogares (034)",155,112,122,38,6,36,27,17
"Ocupantes presentes (035)",535,389,445,160,32,160,98,46
"Vivienda en quinta",,,,,,,,
"Hogares (037)",1040,671,661,174,26,142,100,173
"Ocupantes presentes (038)",3270,2154,2181,585,94,529,316,489
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",669,463,360,69,6,77,47,128
"Ocupantes presentes (041)",2410,1712,1354,228,24,312,150,442
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",133,79,67,12,2,12,4,35
"Ocupantes presentes (047)",537,338,277,53,13,60,15,128
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",24,13,17,3,,5,3,2
"Ocupantes presentes (050)",49,25,33,4,,12,5,8
"Otro tipo",,,,,,,,
"Hogares (052)",12,6,4,,,,,5
"Ocupantes presentes (053)",37,22,18,,,,,12
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",29980,17278,3586,757,49,706,123,11817
"Ocupantes presentes (056)",139669,81109,17866,3649,212,3384,538,54285
"Casa independiente",,,,,,,,
"Hogares (058)",14366,9485,2945,590,47,651,115,4209
"Ocupantes presentes (059)",64298,43089,14512,2768,201,3097,505,18034
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",15409,7702,635,164,2,55,8,7495
"Ocupantes presentes (071)",74448,37552,3332,866,11,287,33,35799
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",40,23,3,1,,,,16
"Ocupantes presentes (077)",187,130,14,7,,,,54
"Otro tipo",,,,,,,,
"Hogares (079)",165,68,3,2,,,,97
"Ocupantes presentes (080)",736,338,8,8,,,,398
