"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia VIRU (000)",27010,25679,7813,4521,3756,2657,3278,1909,1087,658,1331,63277
"De 12 a 14 años (001)",2591,2571,2547,21,3,,,,,,20,27
"De 15 a 19 años (002)",4085,3949,3146,689,92,17,5,,,,136,944
"De 20 a 24 años (003)",4394,3903,1266,1704,725,174,27,7,,,491,3837
"De 25 a 29 años (004)",3523,3240,384,1030,1078,501,234,13,,,283,5753
"De 30 a 34 años (005)",2689,2546,138,456,764,603,501,70,10,4,143,6534
"De 35 a 39 años (006)",2288,2206,93,218,449,554,636,205,44,7,82,7286
"De 40 a 44 años (007)",1835,1786,79,136,253,324,564,299,105,26,49,7172
"De 45 a 49 años (008)",1398,1365,35,99,141,169,418,301,147,55,33,6529
"De 50 y más años (009)",4207,4113,125,168,251,315,893,1014,781,566,94,25195
"PEA (010)",9023,8408,2275,1781,1354,973,1135,526,249,115,615,19151
"De 12 a 14 años (011)",180,180,175,3,2,,,,,,,7
"De 15 a 19 años (012)",1056,1029,850,152,19,6,2,,,,27,216
"De 20 a 24 años (013)",1936,1684,755,633,235,46,12,3,,,252,1310
"De 25 a 29 años (014)",1577,1410,260,496,400,171,79,4,,,167,2169
"De 30 a 34 años (015)",1137,1063,87,222,306,239,174,30,3,2,74,2543
"De 35 a 39 años (016)",941,902,53,98,165,224,268,73,20,1,39,2894
"De 40 a 44 años (017)",749,723,34,77,104,133,212,121,35,7,26,2774
"De 45 a 49 años (018)",519,507,15,43,57,62,176,103,37,14,12,2257
"De 50 y más años (019)",928,910,46,57,66,92,212,192,154,91,18,4981
"Ocupada (020)",8772,8171,2155,1740,1329,959,1112,519,244,113,601,18804
"De 12 a 14 años (021)",167,167,162,3,2,,,,,,,7
