"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia SUCRE (000)",3514,32,101,272,347,624,1163,975
"De 12 a 14 años (001)",14,,,,,,,14
"De 15 a 19 años (002)",104,,,,,,58,46
"De 20 a 24 años (003)",273,,,,,,175,98
"De 25 a 29 años (004)",342,,,,,15,247,80
"De 30 a 34 años (005)",348,,,,,36,252,60
"De 35 a 39 años (006)",342,,,,1,78,212,51
"De 40 a 44 años (007)",341,,,,5,134,151,51
"De 45 a 49 años (008)",266,,,1,23,125,59,58
"De 50 y más años (009)",1484,32,101,271,318,236,9,517
"Sin nivel (010)",1057,23,75,167,182,140,91,379
"De 15 a 19 años (012)",2,,,,,,1,1
"De 20 a 24 años (013)",7,,,,,,6,1
"De 25 a 29 años (014)",9,,,,,,7,2
"De 30 a 34 años (015)",14,,,,,,12,2
"De 35 a 39 años (016)",35,,,,1,5,20,9
"De 40 a 44 años (017)",55,,,,,10,28,17
"De 45 a 49 años (018)",61,,,1,6,30,15,9
"De 50 y más años (019)",874,23,75,166,175,95,2,338
"Educacion Inicial (020)",8,,,,,,5,3
"De 20 a 24 años (023)",3,,,,,,1,2
"De 25 a 29 años (024)",2,,,,,,2,
"De 30 a 34 años (025)",1,,,,,,,1
"De 35 a 39 años (026)",2,,,,,,2,
"Primaria (030)",1277,8,22,95,124,293,458,277
"De 12 a 14 años (031)",8,,,,,,,8
"De 15 a 19 años (032)",18,,,,,,13,5
"De 20 a 24 años (033)",82,,,,,,66,16
"De 25 a 29 años (034)",98,,,,,3,72,23
"De 30 a 34 años (035)",127,,,,,16,97,14
"De 35 a 39 años (036)",140,,,,,28,92,20
"De 40 a 44 años (037)",166,,,,3,67,78,18
"De 45 a 49 años (038)",136,,,,10,64,34,28
"De 50 y más años (039)",502,8,22,95,111,115,6,145
"Secundaria (040)",805,,1,6,32,131,436,199
"De 12 a 14 años (041)",6,,,,,,,6
"De 15 a 19 años (042)",82,,,,,,44,38
"De 20 a 24 años (043)",134,,,,,,83,51
"De 25 a 29 años (044)",162,,,,,7,122,33
"De 30 a 34 años (045)",134,,,,,15,96,23
"De 35 a 39 años (046)",96,,,,,29,56,11
"De 40 a 44 años (047)",78,,,,2,38,29,9
"De 45 a 49 años (048)",44,,,,6,22,5,11
"De 50 y más años (049)",69,,1,6,24,20,1,17
"Sup. no Univ. incompleta (050)",80,,1,1,1,8,40,29
"De 15 a 19 años (052)",2,,,,,,,2
"De 20 a 24 años (053)",25,,,,,,12,13
"De 25 a 29 años (054)",21,,,,,3,13,5
"De 30 a 34 años (055)",11,,,,,1,8,2
