"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia LIMA (000)",1718091,1627161,90930
"Red pública dentro de la vivienda (001)",1295853,1284778,11075
"Red pública fuera de la vivienda (002)",127918,124541,3377
"Pilón de uso público (003)",65324,51588,13736
"Camión - cisterna u otro similar (004)",154224,108688,45536
"Pozo (005)",30752,26421,4331
"Río, acequia, manatial o similar (006)",6650,5728,922
"Vecino (007)",30369,20632,9737
"Otro (008)",7001,4785,2216
,,,
"URBANA (010)",1715402,1626338,89064
"Red pública dentro de la vivienda (011)",1295795,1284748,11047
"Red pública fuera de la vivienda (012)",127885,124531,3354
"Pilón de uso público (013)",64902,51499,13403
"Camión - cisterna u otro similar (014)",153290,108518,44772
"Pozo (015)",30047,25974,4073
"Río, acequia, manatial o similar (016)",6189,5666,523
"Vecino (017)",30302,20620,9682
"Otro (018)",6992,4782,2210
,,,
"RURAL (020)",2689,823,1866
"Red pública dentro de la vivienda (021)",58,30,28
"Red pública fuera de la vivienda (022)",33,10,23
"Pilón de uso público (023)",422,89,333
"Camión - cisterna u otro similar (024)",934,170,764
"Pozo (025)",705,447,258
"Río, acequia, manatial o similar (026)",461,62,399
"Vecino (027)",67,12,55
"Otro (028)",9,3,6
