"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia ANTA (000)",13659,9682,3977
"Red pública dentro de la vivienda (001)",4345,3635,710
"Red pública fuera de la vivienda (002)",3407,2753,654
"Pilón de uso público (003)",608,392,216
"Camión - cisterna u otro similar (004)",15,8,7
"Pozo (005)",416,224,192
"Río, acequia, manatial o similar (006)",4148,2343,1805
"Vecino (007)",480,229,251
"Otro (008)",240,98,142
,,,
"URBANA (010)",4777,4157,620
"Red pública dentro de la vivienda (011)",2708,2424,284
"Red pública fuera de la vivienda (012)",1260,1151,109
"Pilón de uso público (013)",95,57,38
"Camión - cisterna u otro similar (014)",3,3,
"Pozo (015)",55,32,23
"Río, acequia, manatial o similar (016)",444,356,88
"Vecino (017)",164,103,61
"Otro (018)",48,31,17
,,,
"RURAL (020)",8882,5525,3357
"Red pública dentro de la vivienda (021)",1637,1211,426
"Red pública fuera de la vivienda (022)",2147,1602,545
"Pilón de uso público (023)",513,335,178
"Camión - cisterna u otro similar (024)",12,5,7
"Pozo (025)",361,192,169
"Río, acequia, manatial o similar (026)",3704,1987,1717
"Vecino (027)",316,126,190
"Otro (028)",192,67,125
