"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CORONGO (000)",2196,18,872,721,249,83,37,14,1,,201
"Catolica (001)",1959,18,781,642,220,74,32,12,,,180
"Cristiana / Evangelica (002)",220,,86,74,28,7,4,1,1,,19
"Otra (003)",9,,3,1,,1,1,1,,,2
"Ninguna (004)",8,,2,4,1,1,,,,,
,,,,,,,,,,,
"URBANA (006)",1172,9,396,369,173,57,27,11,1,,129
"Catolica (007)",1057,9,359,336,158,50,23,9,,,113
"Cristiana / Evangelica (008)",101,,34,28,15,5,3,1,1,,14
"Otra (009)",7,,1,1,,1,1,1,,,2
"Ninguna (010)",7,,2,4,,1,,,,,
,,,,,,,,,,,
"RURAL (012)",1024,9,476,352,76,26,10,3,,,72
"Catolica (013)",902,9,422,306,62,24,9,3,,,67
"Cristiana / Evangelica (014)",119,,52,46,13,2,1,,,,5
"Otra (015)",2,,2,,,,,,,,
"Ninguna (016)",1,,,,1,,,,,,
