"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ANDAHUAYLAS (000)",44285,1369,14385,16119,9889,2523
"Agric., ganadería, caza y silvicultura (001)",23942,876,7299,7798,6017,1952
"Pesca (002)",10,,2,4,4,
"Explotación de minas y canteras (003)",65,,22,27,16,
"Industrias manufactureras (004)",1437,54,603,467,262,51
"Suministro de electricidad, gas y agua (005)",33,,9,13,7,4
"Construcción (006)",1222,10,368,508,306,30
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",4564,198,1552,1710,917,187
"Venta, mant.y rep. veh.autom.y motoc. (008)",350,2,180,119,43,6
"Comercio al por mayor (009)",140,,61,55,24,
"Comercio al por menor (010)",4074,196,1311,1536,850,181
"Hoteles y restaurantes (011)",1155,54,475,370,221,35
"Trans., almac. y comunicaciones (012)",1646,46,783,590,210,17
"Intermediación financiera (013)",91,,55,24,12,
"Activid.inmobil., empres. y alquileres (014)",572,1,204,243,113,11
"Admin.pub. y defensa; p. segur.soc afil (015)",1283,,314,646,299,24
"Enseñanza (016)",3010,,538,1765,694,13
"Servicios sociales y de salud (017)",991,,282,572,131,6
"Otras activ. serv.comun.soc y personales (018)",498,48,191,180,65,14
"Hogares privados con servicio doméstico (019)",636,34,413,118,58,13
"Organiz. y organos extraterritoriales (020)",1,,,1,,
"Actividad economica no especificada (021)",1136,11,403,403,243,76
"Desocupado (022)",1993,37,872,680,314,90
"Hombres (023)",29679,818,9507,10735,6838,1781
"Agric., ganadería, caza y silvicultura (024)",17947,546,5553,5927,4475,1446
"Pesca (025)",8,,1,4,3,
"Explotación de minas y canteras (026)",61,,22,24,15,
"Industrias manufactureras (027)",1115,35,465,360,214,41
"Suministro de electricidad, gas y agua (028)",27,,7,11,6,3
"Construcción (029)",1166,9,347,483,297,30
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",1846,103,680,646,348,69
"Venta, mant.y rep. veh.autom.y motoc. (031)",321,2,163,111,39,6
"Comercio al por mayor (032)",79,,41,24,14,
"Comercio al por menor (033)",1446,101,476,511,295,63
"Hoteles y restaurantes (034)",280,14,141,75,43,7
"Trans., almac. y comunicaciones (035)",1522,35,710,561,199,17
"Intermediación financiera (036)",54,,31,15,8,
"Activid.inmobil., empres. y alquileres (037)",416,,132,181,92,11
"Admin.pub. y defensa; p. segur.soc afil (038)",947,,205,473,246,23
"Enseñanza (039)",1604,,220,940,432,12
