"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia JAUJA (000)",41075,5374,12308,11327,12066
"Asiste actualmente (001)",29583,2099,11840,10539,5105
"No asiste (002)",11492,3275,468,788,6961
"Hombres (004)",20763,2736,6235,5806,5986
"Asiste actualmente (005)",15041,1060,6003,5414,2564
"No asiste (006)",5722,1676,232,392,3422
"Mujeres (008)",20312,2638,6073,5521,6080
"Asiste actualmente (009)",14542,1039,5837,5125,2541
"No asiste (010)",5770,1599,236,396,3539
,,,,,
"URBANA (012)",27825,3496,8005,7734,8590
"Asiste actualmente (013)",20613,1407,7758,7364,4084
"No asiste (014)",7212,2089,247,370,4506
"Hombres (016)",14019,1809,4017,3908,4285
"Asiste actualmente (017)",10410,733,3902,3719,2056
"No asiste (018)",3609,1076,115,189,2229
"Mujeres (020)",13806,1687,3988,3826,4305
"Asiste actualmente (021)",10203,674,3856,3645,2028
"No asiste (022)",3603,1013,132,181,2277
,,,,,
"RURAL (024)",13250,1878,4303,3593,3476
"Asiste actualmente (025)",8970,692,4082,3175,1021
"No asiste (026)",4280,1186,221,418,2455
"Hombres (028)",6744,927,2218,1898,1701
"Asiste actualmente (029)",4631,327,2101,1695,508
"No asiste (030)",2113,600,117,203,1193
"Mujeres (032)",6506,951,2085,1695,1775
"Asiste actualmente (033)",4339,365,1981,1480,513
"No asiste (034)",2167,586,104,215,1262
