"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia ISLAY (000)",1426,206,1220
"Sin nivel (001)",42,1,41
"Educación inicial (002)",3,1,2
"Primaria (003)",248,16,232
"Secundaria (004)",586,103,483
"Superior no univ. incompleta (005)",154,24,130
"Superior no univ. completa (006)",214,35,179
"Superior univ. incompleta (007)",75,15,60
"Superior univ. completa (008)",104,11,93
"De 14 a 29 años (010)",596,159,437
"Sin nivel (011)",3,1,2
"Educación inicial (012)",2,1,1
"Primaria (013)",30,5,25
"Secundaria (014)",285,81,204
"Superior no univ. incompleta (015)",85,20,65
"Superior no univ. completa (016)",122,31,91
"Superior univ. incompleta (017)",37,11,26
"Superior univ. completa (018)",32,9,23
"De 30 a 44 años (020)",459,34,425
"Sin nivel (021)",10,,10
"Educación inicial (022)",1,,1
"Primaria (023)",81,6,75
"Secundaria (024)",190,19,171
"Superior no univ. incompleta (025)",43,2,41
"Superior no univ. completa (026)",63,2,61
"Superior univ. incompleta (027)",21,3,18
"Superior univ. completa (028)",50,2,48
"De 45 a 64 años (030)",320,13,307
"Sin nivel (031)",24,,24
"Primaria (033)",105,5,100
"Secundaria (034)",103,3,100
"Superior no univ. incompleta (035)",25,2,23
"Superior no univ. completa (036)",26,2,24
"Superior univ. incompleta (037)",17,1,16
"Superior univ. completa (038)",20,,20
"De 65 y más años (040)",51,,51
"Sin nivel (041)",5,,5
"Primaria (043)",32,,32
"Secundaria (044)",8,,8
"Superior no univ. incompleta (045)",1,,1
"Superior no univ. completa (046)",3,,3
"Superior univ. completa (048)",2,,2
,,,
"AREA URBANA (050)",1317,198,1119
"Sin nivel (051)",38,1,37
"Educación inicial (052)",3,1,2
"Primaria (053)",221,16,205
"Secundaria (054)",547,99,448
"Superior no univ. incompleta (055)",148,24,124
"Superior no univ. completa (056)",198,31,167
"Superior univ. incompleta (057)",70,15,55
"Superior univ. completa (058)",92,11,81
"De 14 a 29 años (060)",559,152,407
"Sin nivel (061)",3,1,2
"Educación inicial (062)",2,1,1
"Primaria (063)",27,5,22
"Secundaria (064)",264,77,187
"Superior no univ. incompleta (065)",80,20,60
"Superior no univ. completa (066)",114,28,86
"Superior univ. incompleta (067)",37,11,26
"Superior univ. completa (068)",32,9,23
"De 30 a 44 años (070)",414,34,380
"Sin nivel (071)",10,,10
"Educación inicial (072)",1,,1
"Primaria (073)",66,6,60
"Secundaria (074)",176,19,157
"Superior no univ. incompleta (075)",42,2,40
"Superior no univ. completa (076)",59,2,57
"Superior univ. incompleta (077)",16,3,13
"Superior univ. completa (078)",44,2,42
"De 45 a 64 años (080)",297,12,285
"Sin nivel (081)",20,,20
"Primaria (083)",99,5,94
"Secundaria (084)",99,3,96
"Superior no univ. incompleta (085)",25,2,23
"Superior no univ. completa (086)",23,1,22
"Superior univ. incompleta (087)",17,1,16
"Superior univ. completa (088)",14,,14
"De 65 y más años (090)",47,,47
"Sin nivel (091)",5,,5
"Primaria (093)",29,,29
"Secundaria (094)",8,,8
"Superior no univ. incompleta (095)",1,,1
"Superior no univ. completa (096)",2,,2
"Superior univ. completa (098)",2,,2
,,,
"AREA RURAL (100)",109,8,101
"Sin nivel (101)",4,,4
"Primaria (103)",27,,27
"Secundaria (104)",39,4,35
"Superior no univ. incompleta (105)",6,,6
"Superior no univ. completa (106)",16,4,12
"Superior univ. incompleta (107)",5,,5
"Superior univ. completa (108)",12,,12
"De 14 a 29 años (110)",37,7,30
"Primaria (113)",3,,3
"Secundaria (114)",21,4,17
"Superior no univ. incompleta (115)",5,,5
"Superior no univ. completa (116)",8,3,5
"De 30 a 44 años (120)",45,,45
"Primaria (123)",15,,15
"Secundaria (124)",14,,14
"Superior no univ. incompleta (125)",1,,1
"Superior no univ. completa (126)",4,,4
"Superior univ. incompleta (127)",5,,5
"Superior univ. completa (128)",6,,6
"De 45 a 64 años (130)",23,1,22
"Sin nivel (131)",4,,4
"Primaria (133)",6,,6
"Secundaria (134)",4,,4
"Superior no univ. completa (136)",3,1,2
"Superior univ. completa (138)",6,,6
"De 65 y más años (140)",4,,4
"Primaria (143)",3,,3
"Superior no univ. completa (146)",1,,1
