"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ANTONIO RAYMONDI (000)",3281,276,3,1158,1091,128,278,88,259
"Empleado (001)",595,2,1,12,83,48,178,55,216
"Obrero (002)",582,35,,189,295,25,24,8,6
"Trabajador independiente (003)",1769,199,1,840,573,42,65,21,28
"Empleador o patrono (004)",28,3,,5,13,3,1,,3
"Trabajador familiar no remunerado (005)",269,31,1,92,117,9,10,3,6
"Trabajador del hogar (006)",38,6,,20,10,1,,1,
"Hombres (008)",2743,221,3,1046,934,104,185,69,181
"Empleado (009)",399,1,1,10,54,35,111,37,150
"Obrero (010)",548,31,,179,277,25,22,8,6
"Trabajador independiente (011)",1547,166,1,773,486,36,44,21,20
"Empleador o patrono (012)",24,2,,4,13,3,1,,1
"Trabajador familiar no remunerado (013)",220,20,1,76,104,5,7,3,4
"Trabajador del hogar (014)",5,1,,4,,,,,
"Mujeres (016)",538,55,,112,157,24,93,19,78
"Empleado (017)",196,1,,2,29,13,67,18,66
"Obrero (018)",34,4,,10,18,,2,,
"Trabajador independiente (019)",222,33,,67,87,6,21,,8
"Empleador o patrono (020)",4,1,,1,,,,,2
"Trabajador familiar no remunerado (021)",49,11,,16,13,4,3,,2
"Trabajador del hogar (022)",33,5,,16,10,1,,1,
,,,,,,,,,
"URBANA (024)",1235,42,2,200,443,85,189,67,207
"Empleado (025)",418,,1,6,47,34,116,43,171
"Obrero (026)",243,11,,39,146,19,18,6,4
"Trabajador independiente (027)",485,25,,131,213,26,51,14,25
"Empleador o patrono (028)",18,1,,3,8,2,1,,3
"Trabajador familiar no remunerado (029)",49,3,1,9,23,3,3,3,4
"Trabajador del hogar (030)",22,2,,12,6,1,,1,
"Hombres (032)",894,25,2,141,350,69,115,50,142
"Empleado (033)",278,,1,5,35,26,66,27,118
"Obrero (034)",227,8,,35,139,19,16,6,4
"Trabajador independiente (035)",347,16,,93,154,22,31,14,17
"Empleador o patrono (036)",14,,,2,8,2,1,,1
"Trabajador familiar no remunerado (037)",26,,1,5,14,,1,3,2
"Trabajador del hogar (038)",2,1,,1,,,,,
"Mujeres (040)",341,17,,59,93,16,74,17,65
"Empleado (041)",140,,,1,12,8,50,16,53
"Obrero (042)",16,3,,4,7,,2,,
"Trabajador independiente (043)",138,9,,38,59,4,20,,8
"Empleador o patrono (044)",4,1,,1,,,,,2
"Trabajador familiar no remunerado (045)",23,3,,4,9,3,2,,2
"Trabajador del hogar (046)",20,1,,11,6,1,,1,
,,,,,,,,,
"RURAL (048)",2046,234,1,958,648,43,89,21,52
"Empleado (049)",177,2,,6,36,14,62,12,45
"Obrero (050)",339,24,,150,149,6,6,2,2
"Trabajador independiente (051)",1284,174,1,709,360,16,14,7,3
"Empleador o patrono (052)",10,2,,2,5,1,,,
"Trabajador familiar no remunerado (053)",220,28,,83,94,6,7,,2
"Trabajador del hogar (054)",16,4,,8,4,,,,
"Hombres (056)",1849,196,1,905,584,35,70,19,39
"Empleado (057)",121,1,,5,19,9,45,10,32
"Obrero (058)",321,23,,144,138,6,6,2,2
"Trabajador independiente (059)",1200,150,1,680,332,14,13,7,3
"Empleador o patrono (060)",10,2,,2,5,1,,,
"Trabajador familiar no remunerado (061)",194,20,,71,90,5,6,,2
"Trabajador del hogar (062)",3,,,3,,,,,
"Mujeres (064)",197,38,,53,64,8,19,2,13
"Empleado (065)",56,1,,1,17,5,17,2,13
"Obrero (066)",18,1,,6,11,,,,
"Trabajador independiente (067)",84,24,,29,28,2,1,,
"Trabajador familiar no remunerado (069)",26,8,,12,4,1,1,,
"Trabajador del hogar (070)",13,4,,5,4,,,,
