"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUANCA SANCOS (000)",3573,2864,250,230,229
"Sin nivel (001)",391,382,5,2,2
"Educación inicial (002)",3,3,,,
"Primaria (003)",1362,1278,39,34,11
"Secundaria (004)",1046,849,69,87,41
"Superior no univ. incompleta (005)",112,76,9,11,16
"Superior no univ. completa (006)",301,159,54,35,53
"Superior univ. incompleta (007)",86,47,5,13,21
"Superior univ. completa (008)",272,70,69,48,85
"De 06 a 14 años (010)",70,66,2,2,
"Sin nivel (011)",3,3,,,
"Primaria (013)",52,49,2,1,
"Secundaria (014)",15,14,,1,
"De 15 a 29 años (020)",878,705,54,65,54
"Sin nivel (021)",18,18,,,
"Educación inicial (022)",1,1,,,
"Primaria (023)",240,225,2,10,3
"Secundaria (024)",436,352,30,39,15
"Superior no univ. incompleta (025)",45,38,2,1,4
"Superior no univ. completa (026)",81,41,14,10,16
"Superior univ. incompleta (027)",17,12,,2,3
"Superior univ. completa (028)",40,18,6,3,13
"De 30 a 44 años (030)",1253,912,116,110,115
"Sin nivel (031)",79,74,3,2,
"Educación inicial (032)",2,2,,,
"Primaria (033)",377,352,11,9,5
"Secundaria (034)",393,315,26,36,16
"Superior no univ. incompleta (035)",46,24,6,7,9
"Superior no univ. completa (036)",170,93,24,20,33
"Superior univ. incompleta (037)",39,17,2,9,11
"Superior univ. completa (038)",147,35,44,27,41
"De 45 a 64 años (040)",1004,822,73,51,58
"Sin nivel (041)",171,168,1,,2
"Primaria (043)",480,444,20,13,3
"Secundaria (044)",181,147,13,11,10
"Superior no univ. incompleta (045)",19,12,1,3,3
"Superior no univ. completa (046)",48,23,16,5,4
"Superior univ. incompleta (047)",26,14,3,2,7
"Superior univ. completa (048)",79,14,19,17,29
"De 65 y más años (050)",368,359,5,2,2
"Sin nivel (051)",120,119,1,,
"Primaria (053)",213,208,4,1,
"Secundaria (054)",21,21,,,
"Superior no univ. incompleta (055)",2,2,,,
"Superior no univ. completa (056)",2,2,,,
"Superior univ. incompleta (057)",4,4,,,
"Superior univ. completa (058)",6,3,,1,2
,,,,,
"URBANA (060)",2339,1739,228,164,208
"Sin nivel (061)",140,135,2,1,2
"Primaria (063)",789,722,33,24,10
