"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHUCUITO (000)",43840,39016,2303,632,1889
"Agric., ganadería, caza y silvicultura (001)",25379,24765,567,33,14
"Pesca (002)",318,309,9,,
"Explotación de minas y canteras (003)",64,24,14,14,12
"Industrias manufactureras (004)",1449,1308,125,13,3
"Suministro de electricidad, gas y agua (005)",19,1,2,9,7
"Construcción (006)",1493,1149,251,58,35
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",5203,4916,268,16,3
"Venta, mant.y rep. veh.autom y motoc. (008)",322,293,24,3,2
"Comercio al por mayor (009)",164,148,14,1,1
"Comercio al por menor (010)",4717,4475,230,12,
"Hoteles y restaurantes (011)",1214,1102,103,4,5
"Trans., almac. y comunicaciones (012)",3512,3075,325,59,53
"Intermediación financiera (013)",48,32,5,5,6
"Activid.inmobil., empres. y alquileres (014)",242,160,29,26,27
"Admin.pub. y defensa; p. segur soc.afil (015)",988,,,,988
"Enseñanza (016)",1704,351,504,365,484
"Servicios sociales y de salud (017)",308,72,11,5,220
"Otras activ. serv.comun.soc y personales (018)",272,197,48,11,16
"Hogares privados con servicio doméstico (019)",834,834,,,
"Actividad economica no especificada (021)",793,721,42,14,16
"Hombres (022)",27164,23531,1693,501,1439
"Agric., ganadería, caza y silvicultura (023)",15931,15517,381,22,11
"Pesca (024)",233,228,5,,
"Explotación de minas y canteras (025)",61,21,14,14,12
"Industrias manufactureras (026)",669,569,90,8,2
"Suministro de electricidad, gas y agua (027)",19,1,2,9,7
"Construcción (028)",1469,1135,246,53,35
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",2061,1932,117,9,3
"Venta, mant.y rep. veh.autom y motoc. (030)",256,233,19,2,2
"Comercio al por mayor (031)",71,63,6,1,1
"Comercio al por menor (032)",1734,1636,92,6,
"Hoteles y restaurantes (033)",216,190,23,1,2
"Trans., almac. y comunicaciones (034)",3389,2971,310,55,53
"Intermediación financiera (035)",34,24,4,2,4
"Activid.inmobil., empres. y alquileres (036)",208,139,25,20,24
"Admin.pub. y defensa; p. segur soc.afil (037)",814,,,,814
"Enseñanza (038)",1268,227,412,285,344
"Servicios sociales y de salud (039)",167,56,6,5,100
"Otras activ. serv.comun.soc y personales (040)",181,123,34,9,15
"Hogares privados con servicio doméstico (041)",68,68,,,
