"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia DOS DE MAYO (000)",10909,143,5261,3353,845,228,117,47,7,,908
"Conviviente (001)",3764,44,1894,1166,266,64,25,5,3,,297
"Separado(a) (002)",712,17,335,228,51,25,13,5,2,,36
"Casado(a) (003)",4342,54,2211,1376,356,89,43,22,2,,189
"Viudo(a) (004)",1262,25,601,398,106,27,24,14,,,67
"Divorciado(a) (005)",56,1,26,14,5,2,1,,,,7
"Soltero(a) (006)",773,2,194,171,61,21,11,1,,,312
,,,,,,,,,,,
"URBANA (008)",4028,55,1823,1263,400,129,57,24,1,,276
"Conviviente (009)",1368,19,628,463,131,33,9,1,1,,83
"Separado(a) (010)",283,6,136,92,23,13,3,3,,,7
"Casado(a) (011)",1560,16,742,489,167,54,20,15,,,57
"Viudo(a) (012)",462,11,217,133,34,14,18,4,,,31
"Divorciado(a) (013)",23,1,9,7,2,2,1,,,,1
"Soltero(a) (014)",332,2,91,79,43,13,6,1,,,97
,,,,,,,,,,,
"RURAL (016)",6881,88,3438,2090,445,99,60,23,6,,632
"Conviviente (017)",2396,25,1266,703,135,31,16,4,2,,214
"Separado(a) (018)",429,11,199,136,28,12,10,2,2,,29
"Casado(a) (019)",2782,38,1469,887,189,35,23,7,2,,132
"Viudo(a) (020)",800,14,384,265,72,13,6,10,,,36
"Divorciado(a) (021)",33,,17,7,3,,,,,,6
"Soltero(a) (022)",441,,103,92,18,8,5,,,,215
