"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia SAN ANTONIO DE PUTINA (000)",47183,6959,1008,17494,18239,1178,769,741,795
"Jefe o Jefa (001)",15612,2060,16,5392,6646,462,351,262,423
"Esposa(o)/ compa¤era(o) (002)",7593,1237,19,3426,2516,132,114,60,89
"Hijo(a)/ hijastro(a) (003)",17340,2698,810,6575,6220,388,182,319,148
"Yerno/ nuera (004)",830,27,,232,481,25,21,13,31
"Nieto(a) (005)",1430,346,109,600,336,7,2,19,11
"Padres/ suegros (006)",353,220,,107,23,3,,,
"Otro(a) pariente (007)",2984,319,50,922,1434,111,58,36,54
"Trabajador(a) del hogar (008)",101,6,,32,50,6,2,3,2
"Pensionista (009)",19,,,1,13,2,2,,1
"Otro(a) no pariente (010)",921,46,4,207,520,42,37,29,36
"Hombres (012)",25188,2710,529,8350,11232,774,514,495,584
"Jefe o Jefa (013)",11910,899,10,4020,5670,402,303,233,373
"Esposa(o)/ compa¤era(o) (014)",457,21,1,112,266,19,13,8,17
"Hijo(a)/ hijastro(a) (015)",9152,1396,429,3186,3520,237,106,185,93
"Yerno/ nuera (016)",395,10,,80,245,10,18,10,22
"Nieto(a) (017)",737,171,61,304,177,3,1,10,10
"Padres/ suegros (018)",132,54,,58,19,1,,,
"Otro(a) pariente (019)",1764,134,27,475,957,66,43,27,35
"Trabajador(a) del hogar (020)",36,2,,12,14,3,1,2,2
"Pensionista (021)",13,,,1,8,1,2,,1
"Otro(a) no pariente (022)",592,23,1,102,356,32,27,20,31
"Mujeres (024)",21995,4249,479,9144,7007,404,255,246,211
"Jefe o Jefa (025)",3702,1161,6,1372,976,60,48,29,50
"Esposa(o)/ compa¤era(o) (026)",7136,1216,18,3314,2250,113,101,52,72
"Hijo(a)/ hijastro(a) (027)",8188,1302,381,3389,2700,151,76,134,55
"Yerno/ nuera (028)",435,17,,152,236,15,3,3,9
"Nieto(a) (029)",693,175,48,296,159,4,1,9,1
"Padres/ suegros (030)",221,166,,49,4,2,,,
"Otro(a) pariente (031)",1220,185,23,447,477,45,15,9,19
"Trabajador(a) del hogar (032)",65,4,,20,36,3,1,1,
"Pensionista (033)",6,,,,5,1,,,
"Otro(a) no pariente (034)",329,23,3,105,164,10,10,9,5
,,,,,,,,,
"URBANA (036)",31372,3520,715,10909,13375,982,585,614,672
"Jefe o Jefa (037)",10347,783,14,3327,5022,386,250,217,348
"Esposa(o)/ compa¤era(o) (038)",5142,502,12,2294,2009,112,84,47,82
"Hijo(a)/ hijastro(a) (039)",10978,1613,572,3833,4114,310,148,265,123
"Yerno/ nuera (040)",587,13,,148,346,23,18,13,26
"Nieto(a) (041)",901,205,74,362,226,7,2,16,9
"Padres/ suegros (042)",275,159,,94,19,3,,,
"Otro(a) pariente (043)",2274,209,40,654,1150,101,47,26,47
"Trabajador(a) del hogar (044)",91,4,,28,46,6,2,3,2
"Pensionista (045)",19,,,1,13,2,2,,1
"Otro(a) no pariente (046)",758,32,3,168,430,32,32,27,34
