"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia SAN MARCOS (000)",824,319,505
"De 14 a 29 años (001)",459,265,194
"De 30 a 44 años (002)",209,47,162
"De 45 a 64 años (003)",112,7,105
"De 65 y más años (004)",44,,44
"Hombres (005)",645,210,435
"De 14 a 29 años (006)",324,168,156
"De 30 a 44 años (007)",179,37,142
"De 45 a 64 años (008)",101,5,96
"De 65 y más años (009)",41,,41
"Mujeres (010)",179,109,70
"De 14 a 29 años (011)",135,97,38
"De 30 a 44 años (012)",30,10,20
"De 45 a 64 años (013)",11,2,9
"De 65 y más años (014)",3,,3
,,,
"AREA URBANA (015)",176,48,128
"De 14 a 29 años (016)",84,37,47
"De 30 a 44 años (017)",58,10,48
"De 45 a 64 años (018)",29,1,28
"De 65 y más años (019)",5,,5
"Hombres (020)",128,33,95
"De 14 a 29 años (021)",58,25,33
"De 30 a 44 años (022)",44,8,36
"De 45 a 64 años (023)",22,,22
"De 65 y más años (024)",4,,4
"Mujeres (025)",48,15,33
"De 14 a 29 años (026)",26,12,14
"De 30 a 44 años (027)",14,2,12
"De 45 a 64 años (028)",7,1,6
"De 65 y más años (029)",1,,1
,,,
"AREA RURAL (030)",648,271,377
"De 14 a 29 años (031)",375,228,147
"De 30 a 44 años (032)",151,37,114
"De 45 a 64 años (033)",83,6,77
"De 65 y más años (034)",39,,39
"Hombres (035)",517,177,340
"De 14 a 29 años (036)",266,143,123
"De 30 a 44 años (037)",135,29,106
"De 45 a 64 años (038)",79,5,74
"De 65 y más años (039)",37,,37
"Mujeres (040)",131,94,37
"De 14 a 29 años (041)",109,85,24
"De 30 a 44 años (042)",16,8,8
"De 45 a 64 años (043)",4,1,3
"De 65 y más años (044)",2,,2
