"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SANTIAGO DE CHUCO (000)",13962,178,5309,4552,1504,532,248,93,15,,1531
"Catolica (001)",10516,133,3977,3422,1142,402,192,68,11,,1169
"Cristiana / Evangelica (002)",2769,34,1069,905,295,109,44,23,2,,288
"Otra (003)",454,5,171,160,43,17,9,2,1,,46
"Ninguna (004)",223,6,92,65,24,4,3,,1,,28
,,,,,,,,,,,
"URBANA (006)",5228,61,1742,1733,687,259,136,47,5,,558
"Catolica (007)",4070,42,1328,1346,550,208,116,35,3,,442
"Cristiana / Evangelica (008)",955,17,345,324,111,46,15,11,1,,85
"Otra (009)",82,,21,29,12,3,3,1,,,13
"Ninguna (010)",121,2,48,34,14,2,2,,1,,18
,,,,,,,,,,,
"RURAL (012)",8734,117,3567,2819,817,273,112,46,10,,973
"Catolica (013)",6446,91,2649,2076,592,194,76,33,8,,727
"Cristiana / Evangelica (014)",1814,17,724,581,184,63,29,12,1,,203
"Otra (015)",372,5,150,131,31,14,6,1,1,,33
"Ninguna (016)",102,4,44,31,10,2,1,,,,10
