"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia CARABAYA (000)",36939,30351,6588
"De 3 a 5 años (001)",5586,409,5177
"De 6 a 11 años (002)",11409,10328,1081
"De 12 a 16 años (003)",9064,8999,65
"De 17 a 24 años (004)",10880,10615,265
"Hombres (005)",19102,15821,3281
"De 3 a 5 años (006)",2884,213,2671
"De 6 a 11 años (007)",5860,5333,527
"De 12 a 16 años (008)",4790,4772,18
"De 17 a 24 años (009)",5568,5503,65
"Mujeres (010)",17837,14530,3307
"De 3 a 5 años (011)",2702,196,2506
"De 6 a 11 años (012)",5549,4995,554
"De 12 a 16 años (013)",4274,4227,47
"De 17 a 24 años (014)",5312,5112,200
,,,
"URBANA (015)",15491,13027,2464
"De 3 a 5 años (016)",2228,195,2033
"De 6 a 11 años (017)",4917,4560,357
"De 12 a 16 años (018)",4031,4016,15
"De 17 a 24 años (019)",4315,4256,59
"Hombres (020)",7890,6645,1245
"De 3 a 5 años (021)",1162,109,1053
"De 6 a 11 años (022)",2488,2320,168
"De 12 a 16 años (023)",2114,2107,7
"De 17 a 24 años (024)",2126,2109,17
"Mujeres (025)",7601,6382,1219
"De 3 a 5 años (026)",1066,86,980
"De 6 a 11 años (027)",2429,2240,189
"De 12 a 16 años (028)",1917,1909,8
"De 17 a 24 años (029)",2189,2147,42
,,,
"RURAL (030)",21448,17324,4124
"De 3 a 5 años (031)",3358,214,3144
"De 6 a 11 años (032)",6492,5768,724
"De 12 a 16 años (033)",5033,4983,50
"De 17 a 24 años (034)",6565,6359,206
"Hombres (035)",11212,9176,2036
"De 3 a 5 años (036)",1722,104,1618
"De 6 a 11 años (037)",3372,3013,359
"De 12 a 16 años (038)",2676,2665,11
"De 17 a 24 años (039)",3442,3394,48
"Mujeres (040)",10236,8148,2088
"De 3 a 5 años (041)",1636,110,1526
"De 6 a 11 años (042)",3120,2755,365
"De 12 a 16 años (043)",2357,2318,39
"De 17 a 24 años (044)",3123,2965,158
