"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia GRAN CHIMU (000)",10214,8073,526,448,1167
"Empleado (001)",1189,364,171,174,480
"Obrero (002)",2691,1509,242,259,681
"Trabajador independiente (003)",4750,4679,71,,
"Empleador o patrono (004)",117,95,15,5,2
"Trabajador familiar no remunerado (005)",1258,1217,27,10,4
"Trabajador del hogar (006)",209,209,,,
"De 06 a 14 años (008)",191,175,9,5,2
"Empleado (009)",7,5,2,,
"Obrero (010)",32,24,3,3,2
"Trabajador independiente (011)",31,31,,,
"Trabajador familiar no remunerado (013)",113,107,4,2,
"Trabajador del hogar (014)",8,8,,,
"De 15 a 29 años (016)",3265,2473,178,167,447
"Empleado (017)",321,122,29,26,144
"Obrero (018)",1160,613,108,136,303
"Trabajador independiente (019)",961,938,23,,
"Empleador o patrono (020)",18,15,2,1,
"Trabajador familiar no remunerado (021)",704,684,16,4,
"Trabajador del hogar (022)",101,101,,,
"De 30 a 44 años (024)",3417,2490,226,193,508
"Empleado (025)",586,157,97,100,232
"Obrero (026)",936,483,90,90,273
"Trabajador independiente (027)",1527,1498,29,,
"Empleador o patrono (028)",42,34,6,1,1
"Trabajador familiar no remunerado (029)",271,263,4,2,2
"Trabajador del hogar (030)",55,55,,,
"De 45 a 64 años (032)",2503,2123,100,75,205
"Empleado (033)",255,71,41,43,100
"Obrero (034)",458,294,35,27,102
"Trabajador independiente (035)",1606,1590,16,,
"Empleador o patrono (036)",40,31,5,3,1
"Trabajador familiar no remunerado (037)",117,110,3,2,2
"Trabajador del hogar (038)",27,27,,,
"De 65 y más años (040)",838,812,13,8,5
"Empleado (041)",20,9,2,5,4
"Obrero (042)",105,95,6,3,1
"Trabajador independiente (043)",625,622,3,,
"Empleador o patrono (044)",17,15,2,,
"Trabajador familiar no remunerado (045)",53,53,,,
"Trabajador del hogar (046)",18,18,,,
,,,,,
"URBANA (048)",2343,1684,258,226,175
"Empleado (049)",558,214,92,118,134
"Obrero (050)",595,337,112,106,40
"Trabajador independiente (051)",885,844,41,,
"Empleador o patrono (052)",56,48,7,,1
"Trabajador familiar no remunerado (053)",172,164,6,2,
"Trabajador del hogar (054)",77,77,,,
"De 06 a 14 años (056)",50,44,4,2,
"Empleado (057)",5,3,2,,
