"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia PALPA (000)",12121,448,2372,2431,1872,1644,1310,861,1183
"Quechua (001)",883,1,9,42,115,172,167,142,235
"Aymara (002)",21,1,1,1,6,3,3,3,3
"Castellano (005)",11198,446,2357,2383,1750,1465,1138,715,944
"Idioma extranjero (006)",4,,1,1,1,1,,,
"Es sordomudo/a (007)",15,,4,4,,3,2,1,1
"Hombres (009)",6204,227,1224,1249,940,801,674,445,644
"Quechua (010)",405,1,5,19,51,75,71,66,117
"Aymara (011)",11,1,1,,2,2,1,2,2
"Castellano (014)",5775,225,1213,1226,886,723,601,376,525
"Idioma extranjero (015)",3,,1,1,1,,,,
"Es sordomudo/a (016)",10,,4,3,,1,1,1,
"Mujeres (018)",5917,221,1148,1182,932,843,636,416,539
"Quechua (019)",478,,4,23,64,97,96,76,118
"Aymara (020)",10,,,1,4,1,2,1,1
"Castellano (023)",5423,221,1144,1157,864,742,537,339,419
"Idioma extranjero (024)",1,,,,,1,,,
"Es sordomudo/a (025)",5,,,1,,2,1,,1
,,,,,,,,,
"URBANA (027)",7984,310,1621,1596,1228,1094,865,539,731
"Quechua (028)",596,1,8,28,91,124,109,89,146
"Aymara (029)",18,1,1,1,6,2,3,3,1
"Castellano (032)",7359,308,1609,1562,1131,967,752,447,583
"Idioma extranjero (033)",2,,1,1,,,,,
"Es sordomudo/a (034)",9,,2,4,,1,1,,1
"Hombres (036)",3979,153,842,796,587,518,426,263,394
"Quechua (037)",279,1,4,12,42,55,50,38,77
"Aymara (038)",8,1,1,,2,1,1,2,
"Castellano (041)",3683,151,834,780,543,461,374,223,317
"Idioma extranjero (042)",2,,1,1,,,,,
"Es sordomudo/a (043)",7,,2,3,,1,1,,
"Mujeres (045)",4005,157,779,800,641,576,439,276,337
"Quechua (046)",317,,4,16,49,69,59,51,69
"Aymara (047)",10,,,1,4,1,2,1,1
"Castellano (050)",3676,157,775,782,588,506,378,224,266
"Es sordomudo/a (052)",2,,,1,,,,,1
,,,,,,,,,
"RURAL (054)",4137,138,751,835,644,550,445,322,452
"Quechua (055)",287,,1,14,24,48,58,53,89
"Aymara (056)",3,,,,,1,,,2
"Castellano (059)",3839,138,748,821,619,498,386,268,361
"Idioma extranjero (060)",2,,,,1,1,,,
"Es sordomudo/a (061)",6,,2,,,2,1,1,
"Hombres (063)",2225,74,382,453,353,283,248,182,250
"Quechua (064)",126,,1,7,9,20,21,28,40
"Aymara (065)",3,,,,,1,,,2
"Castellano (068)",2092,74,379,446,343,262,227,153,208
"Idioma extranjero (069)",1,,,,1,,,,
"Es sordomudo/a (070)",3,,2,,,,,1,
"Mujeres (072)",1912,64,369,382,291,267,197,140,202
"Quechua (073)",161,,,7,15,28,37,25,49
"Castellano (077)",1747,64,369,375,276,236,159,115,153
"Idioma extranjero (078)",1,,,,,1,,,
"Es sordomudo/a (079)",3,,,,,2,1,,
