"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CUSCO (000)",329333,64267,113695,77883,53533,19955
"Sin nivel (001)",10059,710,694,1374,3147,4134
"Educación inicial (002)",3474,3241,155,78,,
"Primaria (003)",77650,44819,6428,9236,10656,6511
"Secundaria (004)",117087,15497,54514,26412,15942,4722
"Superior no univ. incompleta (005)",23205,,15133,5640,2101,331
"Superior no univ. completa (006)",24516,,9243,10104,4174,995
"Superior univ. incompleta (007)",30322,,18415,6546,4792,569
"Superior univ. completa (008)",43020,,9113,18493,12721,2693
"PEA (010)",160409,2474,56125,59961,36477,5372
"Sin nivel (011)",3364,34,268,656,1413,993
"Educación inicial (012)",121,21,60,40,,
"Primaria (013)",19467,1339,3521,5888,6679,2040
"Secundaria (014)",58926,1080,25520,20137,10999,1190
"Superior no univ. incompleta (015)",13504,,7481,4366,1538,119
"Superior no univ. completa (016)",17876,,6743,8177,2784,172
"Superior univ. incompleta (017)",14757,,5845,5162,3567,183
"Superior univ. completa (018)",32394,,6687,15535,9497,675
"Ocupada (020)",154514,2412,53225,58106,35534,5237
"Sin nivel (021)",3257,33,248,625,1378,973
"Educación inicial (022)",117,21,59,37,,
"Primaria (023)",18860,1312,3353,5693,6511,1991
"Secundaria (024)",56571,1046,24221,19462,10687,1155
"Superior no univ. incompleta (025)",13013,,7160,4248,1490,115
"Superior no univ. completa (026)",17163,,6364,7907,2729,163
"Superior univ. incompleta (027)",14206,,5527,5033,3468,178
