"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ACOBAMBA (000)",15410,262,5296,5172,3621,1059
"Empleado (001)",1302,6,447,604,228,17
"Obrero (002)",1638,10,608,549,401,70
"Trabajador independiente (003)",7649,24,2168,2660,2060,737
"Empleador o patrono (004)",111,,34,28,32,17
"Trabajador familiar no remunerado (005)",4632,215,1994,1313,893,217
"Trabajador del hogar (006)",78,7,45,18,7,1
"Hombres (008)",10396,136,3479,3587,2488,706
"Empleado (009)",794,2,240,376,162,14
"Obrero (010)",1212,4,467,421,277,43
"Trabajador independiente (011)",5871,16,1632,2086,1606,531
"Empleador o patrono (012)",87,,24,19,30,14
"Trabajador familiar no remunerado (013)",2418,113,1107,683,412,103
"Trabajador del hogar (014)",14,1,9,2,1,1
"Mujeres (016)",5014,126,1817,1585,1133,353
"Empleado (017)",508,4,207,228,66,3
"Obrero (018)",426,6,141,128,124,27
"Trabajador independiente (019)",1778,8,536,574,454,206
"Empleador o patrono (020)",24,,10,9,2,3
"Trabajador familiar no remunerado (021)",2214,102,887,630,481,114
"Trabajador del hogar (022)",64,6,36,16,6,
,,,,,,
"URBANA (024)",4951,82,1440,1954,1170,305
"Empleado (025)",982,3,305,471,188,15
"Obrero (026)",687,7,254,242,157,27
"Trabajador independiente (027)",2443,14,584,986,642,217
"Empleador o patrono (028)",57,,13,15,20,9
"Trabajador familiar no remunerado (029)",732,52,254,230,159,37
"Trabajador del hogar (030)",50,6,30,10,4,
"Hombres (032)",3090,49,865,1228,755,193
"Empleado (033)",575,2,154,279,127,13
"Obrero (034)",522,2,198,193,114,15
"Trabajador independiente (035)",1603,9,353,660,438,143
"Empleador o patrono (036)",43,,9,8,18,8
"Trabajador familiar no remunerado (037)",339,35,145,88,57,14
"Trabajador del hogar (038)",8,1,6,,1,
"Mujeres (040)",1861,33,575,726,415,112
"Empleado (041)",407,1,151,192,61,2
"Obrero (042)",165,5,56,49,43,12
"Trabajador independiente (043)",840,5,231,326,204,74
"Empleador o patrono (044)",14,,4,7,2,1
"Trabajador familiar no remunerado (045)",393,17,109,142,102,23
"Trabajador del hogar (046)",42,5,24,10,3,
,,,,,,
"RURAL (048)",10459,180,3856,3218,2451,754
"Empleado (049)",320,3,142,133,40,2
"Obrero (050)",951,3,354,307,244,43
"Trabajador independiente (051)",5206,10,1584,1674,1418,520
"Empleador o patrono (052)",54,,21,13,12,8
"Trabajador familiar no remunerado (053)",3900,163,1740,1083,734,180
"Trabajador del hogar (054)",28,1,15,8,3,1
"Hombres (056)",7306,87,2614,2359,1733,513
"Empleado (057)",219,,86,97,35,1
"Obrero (058)",690,2,269,228,163,28
"Trabajador independiente (059)",4268,7,1279,1426,1168,388
"Empleador o patrono (060)",44,,15,11,12,6
"Trabajador familiar no remunerado (061)",2079,78,962,595,355,89
"Trabajador del hogar (062)",6,,3,2,,1
"Mujeres (064)",3153,93,1242,859,718,241
"Empleado (065)",101,3,56,36,5,1
"Obrero (066)",261,1,85,79,81,15
"Trabajador independiente (067)",938,3,305,248,250,132
"Empleador o patrono (068)",10,,6,2,,2
"Trabajador familiar no remunerado (069)",1821,85,778,488,379,91
"Trabajador del hogar (070)",22,1,12,6,3,
