"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CAYLLOMA (000)",73718,19550,5877,2607,46028
"Menos de 1 año (001)",1397,839,88,26,445
"De 1 a 14 años (002)",22199,11626,1340,437,8819
"De 15 a 29 años (003)",19784,3193,1373,673,14671
"De 30 a 44 años (004)",15080,1689,1582,698,11247
"De 45 a 64 años (005)",10532,1344,1070,549,7623
"De 65 y mas años (006)",4726,859,424,224,3223
"Hombres (008)",37876,9446,3366,1634,23719
"Menos de 1 año (009)",715,440,47,17,212
"De 1 a 14 años (010)",11513,5990,711,213,4606
"De 15 a 29 años (011)",9927,1315,764,436,7520
"De 30 a 44 años (012)",7745,676,933,485,5774
"De 45 a 64 años (013)",5614,620,646,346,4049
"De 65 y mas años (014)",2362,405,265,137,1558
"Mujeres (016)",35842,10104,2511,973,22309
"Menos de 1 año (017)",682,399,41,9,233
"De 1 a 14 años (018)",10686,5636,629,224,4213
"De 15 a 29 años (019)",9857,1878,609,237,7151
"De 30 a 44 años (020)",7335,1013,649,213,5473
"De 45 a 64 años (021)",4918,724,424,203,3574
"De 65 y mas años (022)",2364,454,159,87,1665
,,,,,
"URBANA (024)",49062,13434,3944,1564,30183
"Menos de 1 año (025)",927,553,65,15,294
"De 1 a 14 años (026)",15298,8363,1041,288,5626
"De 15 a 29 años (027)",13492,2319,962,414,9812
"De 30 a 44 años (028)",10228,1035,1088,436,7686
"De 45 a 64 años (029)",6397,667,571,292,4876
"De 65 y mas años (030)",2720,497,217,119,1889
"Hombres (032)",24611,6465,2110,945,15127
"Menos de 1 año (033)",482,296,32,10,144
"De 1 a 14 años (034)",7858,4275,558,136,2895
"De 15 a 29 años (035)",6558,987,460,243,4877
"De 30 a 44 años (036)",5056,386,573,294,3815
"De 45 a 64 años (037)",3361,299,356,188,2526
"De 65 y mas años (038)",1296,222,131,74,870
"Mujeres (040)",24451,6969,1834,619,15056
"Menos de 1 año (041)",445,257,33,5,150
"De 1 a 14 años (042)",7440,4088,483,152,2731
"De 15 a 29 años (043)",6934,1332,502,171,4935
"De 30 a 44 años (044)",5172,649,515,142,3871
"De 45 a 64 años (045)",3036,368,215,104,2350
"De 65 y mas años (046)",1424,275,86,45,1019
,,,,,
"RURAL (048)",24656,6116,1933,1043,15845
"Menos de 1 año (049)",470,286,23,11,151
"De 1 a 14 años (050)",6901,3263,299,149,3193
"De 15 a 29 años (051)",6292,874,411,259,4859
"De 30 a 44 años (052)",4852,654,494,262,3561
"De 45 a 64 años (053)",4135,677,499,257,2747
"De 65 y mas años (054)",2006,362,207,105,1334
"Hombres (056)",13265,2981,1256,689,8592
"Menos de 1 año (057)",233,144,15,7,68
"De 1 a 14 años (058)",3655,1715,153,77,1711
"De 15 a 29 años (059)",3369,328,304,193,2643
"De 30 a 44 años (060)",2689,290,360,191,1959
"De 45 a 64 años (061)",2253,321,290,158,1523
"De 65 y mas años (062)",1066,183,134,63,688
"Mujeres (064)",11391,3135,677,354,7253
"Menos de 1 año (065)",237,142,8,4,83
"De 1 a 14 años (066)",3246,1548,146,72,1482
"De 15 a 29 años (067)",2923,546,107,66,2216
"De 30 a 44 años (068)",2163,364,134,71,1602
"De 45 a 64 años (069)",1882,356,209,99,1224
"De 65 y mas años (070)",940,179,73,42,646
