"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LORETO (000)",17623,12806,1921,945,1951
"Agric., ganadería, caza y silvicultura (001)",10111,8958,965,142,46
"Pesca (002)",333,315,14,4,
"Explotación de minas y canteras (003)",424,1,,20,403
"Industrias manufactureras (004)",447,243,55,44,105
"Suministro de electricidad, gas y agua (005)",15,10,1,4,
"Construcción (006)",886,213,184,125,364
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1428,1284,95,36,13
"Venta, mant.y rep. veh.autom y motoc. (008)",115,76,20,7,12
"Comercio al por mayor (009)",58,40,4,13,1
"Comercio al por menor (010)",1255,1168,71,16,
"Hoteles y restaurantes (011)",505,313,36,58,98
"Trans., almac. y comunicaciones (012)",434,252,86,45,51
"Intermediación financiera (013)",4,2,,2,
"Activid.inmobil., empres. y alquileres (014)",316,88,61,84,83
"Admin.pub. y defensa; p. segur soc.afil (015)",462,,,,462
"Enseñanza (016)",1034,329,324,266,115
"Servicios sociales y de salud (017)",152,28,12,16,96
"Otras activ. serv.comun.soc y personales (018)",165,103,25,17,20
"Hogares privados con servicio doméstico (019)",253,253,,,
"Actividad economica no especificada (021)",654,414,63,82,95
"Hombres (022)",13440,9485,1472,754,1729
"Agric., ganadería, caza y silvicultura (023)",8073,7188,727,114,44
"Pesca (024)",323,306,14,3,
"Explotación de minas y canteras (025)",417,,,20,397
"Industrias manufactureras (026)",404,204,51,44,105
"Suministro de electricidad, gas y agua (027)",14,9,1,4,
"Construcción (028)",869,209,179,119,362
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",862,758,67,24,13
"Venta, mant.y rep. veh.autom y motoc. (030)",110,71,20,7,12
"Comercio al por mayor (031)",39,28,4,6,1
"Comercio al por menor (032)",713,659,43,11,
"Hoteles y restaurantes (033)",224,62,12,53,97
"Trans., almac. y comunicaciones (034)",410,232,83,44,51
"Intermediación financiera (035)",1,,,1,
"Activid.inmobil., empres. y alquileres (036)",271,66,54,71,80
"Admin.pub. y defensa; p. segur soc.afil (037)",349,,,,349
"Enseñanza (038)",607,169,202,166,70
"Servicios sociales y de salud (039)",87,15,6,10,56
"Otras activ. serv.comun.soc y personales (040)",129,69,24,17,19
"Hogares privados con servicio doméstico (041)",28,28,,,
"Actividad economica no especificada (043)",372,170,52,64,86
