"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUANCA SANCOS (000)",4027,3968,1023,454,529,405,679,435,255,188,59,12778
"De 12 a 14 años (001)",389,385,383,1,1,,,,,,4,3
"De 15 a 19 años (002)",413,410,359,50,1,,,,,,3,52
"De 20 a 24 años (003)",364,347,103,150,79,14,,1,,,17,357
"De 25 a 29 años (004)",349,335,50,83,123,59,18,2,,,14,596
"De 30 a 34 años (005)",339,329,27,63,92,71,67,8,1,,10,804
"De 35 a 39 años (006)",359,357,17,27,71,76,117,40,7,2,2,1243
"De 40 a 44 años (007)",338,337,18,16,46,50,117,60,23,7,1,1421
"De 45 a 49 años (008)",283,280,9,13,28,33,84,61,42,10,3,1390
"De 50 y más años (009)",1193,1188,57,51,88,102,276,263,182,169,5,6912
"PEA (010)",1392,1359,215,193,222,177,261,158,84,49,33,4590
"De 12 a 14 años (011)",13,12,10,1,1,,,,,,1,3
"De 15 a 19 años (012)",63,62,48,14,,,,,,,1,14
"De 20 a 24 años (013)",136,126,53,51,16,6,,,,,10,101
"De 25 a 29 años (014)",157,146,32,42,46,21,5,,,,11,218
"De 30 a 34 años (015)",150,145,19,35,43,25,20,2,1,,5,301
"De 35 a 39 años (016)",169,167,13,16,37,36,50,12,3,,2,516
"De 40 a 44 años (017)",160,160,9,9,22,32,48,31,8,1,,634
"De 45 a 49 años (018)",136,135,5,9,18,19,41,23,16,4,1,609
"De 50 y más años (019)",408,406,26,16,39,38,97,90,56,44,2,2194
"Ocupada (020)",1371,1338,208,187,220,173,260,157,84,49,33,4557
"De 12 a 14 años (021)",12,11,9,1,1,,,,,,1,3
"De 15 a 19 años (022)",57,56,42,14,,,,,,,1,14
"De 20 a 24 años (023)",133,123,53,48,16,6,,,,,10,98
