"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUALGAYOC (000)",34642,33451,10882,5069,4007,2955,3960,2810,1971,1797,1191,94674
"De 12 a 14 años (001)",3432,3407,3396,9,2,,,,,,25,13
"De 15 a 19 años (002)",4822,4683,4088,541,41,6,7,,,,139,669
"De 20 a 24 años (003)",4472,4064,1745,1611,588,92,20,8,,,408,3202
"De 25 a 29 años (004)",3733,3466,588,1272,975,457,162,11,1,,267,5361
"De 30 a 34 años (005)",3260,3119,314,645,931,651,471,85,16,6,141,7207
"De 35 a 39 años (006)",2978,2908,194,349,608,607,786,284,68,12,70,9327
"De 40 a 44 años (007)",2464,2419,130,181,301,411,722,403,204,67,45,10263
"De 45 a 49 años (008)",2034,2008,91,127,188,247,543,420,251,141,26,10051
"De 50 y más años (009)",7447,7377,336,334,373,484,1249,1599,1431,1571,70,48581
"PEA (010)",19506,18843,4629,3348,2572,1878,2495,1696,1192,1033,663,57925
"De 12 a 14 años (011)",446,444,438,4,2,,,,,,2,8
"De 15 a 19 años (012)",2278,2210,1860,323,24,,3,,,,68,383
"De 20 a 24 años (013)",2934,2695,1154,1074,398,52,12,5,,,239,2109
"De 25 a 29 años (014)",2577,2400,456,860,643,323,113,5,,,177,3629
"De 30 a 34 años (015)",2256,2165,239,449,609,451,339,63,12,3,91,4999
"De 35 a 39 años (016)",1982,1941,147,244,392,387,517,197,48,9,41,6220
"De 40 a 44 años (017)",1622,1603,82,117,195,263,474,277,144,51,19,6967
"De 45 a 49 años (018)",1340,1326,70,87,118,153,368,267,163,100,14,6636
"De 50 y más años (019)",4071,4059,183,190,191,249,669,882,825,870,12,26974
"Ocupada (020)",19298,18656,4527,3321,2551,1862,2484,1691,1188,1032,642,57680
