"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHURCAMPA (000)",13112,10658,1060,455,939
"Empleado (001)",1324,381,282,262,399
"Obrero (002)",2608,1616,286,174,532
"Trabajador independiente (003)",6468,6103,365,,
"Empleador o patrono (004)",75,59,13,2,1
"Trabajador familiar no remunerado (005)",2572,2434,114,17,7
"Trabajador del hogar (006)",65,65,,,
"De 06 a 14 años (008)",136,117,16,2,1
"Obrero (010)",9,7,2,,
"Trabajador independiente (011)",20,16,4,,
"Trabajador familiar no remunerado (013)",104,91,10,2,1
"Trabajador del hogar (014)",3,3,,,
"De 15 a 29 años (016)",3890,3132,363,126,269
"Empleado (017)",390,114,77,54,145
"Obrero (018)",808,505,112,68,123
"Trabajador independiente (019)",1574,1468,106,,
"Empleador o patrono (020)",19,14,5,,
"Trabajador familiar no remunerado (021)",1066,998,63,4,1
"Trabajador del hogar (022)",33,33,,,
"De 30 a 44 años (024)",4537,3489,400,231,417
"Empleado (025)",676,194,153,164,165
"Obrero (026)",942,534,101,59,248
"Trabajador independiente (027)",2180,2065,115,,
"Empleador o patrono (028)",23,18,3,1,1
"Trabajador familiar no remunerado (029)",699,661,28,7,3
"Trabajador del hogar (030)",17,17,,,
"De 45 a 64 años (032)",3499,2936,229,89,245
"Empleado (033)",251,72,49,44,86
"Obrero (034)",715,461,55,42,157
"Trabajador independiente (035)",1950,1841,109,,
"Empleador o patrono (036)",27,21,5,1,
"Trabajador familiar no remunerado (037)",550,535,11,2,2
"Trabajador del hogar (038)",6,6,,,
"De 65 y más años (040)",1050,984,52,7,7
"Empleado (041)",7,1,3,,3
"Obrero (042)",134,109,16,5,4
"Trabajador independiente (043)",744,713,31,,
"Empleador o patrono (044)",6,6,,,
"Trabajador familiar no remunerado (045)",153,149,2,2,
"Trabajador del hogar (046)",6,6,,,
,,,,,
"URBANA (048)",3679,2104,376,322,877
"Empleado (049)",1042,228,200,253,361
"Obrero (050)",976,316,85,64,511
"Trabajador independiente (051)",1301,1234,67,,
"Empleador o patrono (052)",18,11,6,,1
"Trabajador familiar no remunerado (053)",300,273,18,5,4
"Trabajador del hogar (054)",42,42,,,
"De 06 a 14 años (056)",34,32,2,,
"Obrero (058)",5,3,2,,
