"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia MANU (000)",18723,919,3650,4850,4173,2852,1394,563,322
"Quechua (001)",5731,19,198,1511,1579,1305,674,294,151
"Aymara (002)",239,,5,56,53,67,40,12,6
"Ashaninca (003)",9,,,4,1,2,2,,
"Otra lengua nativa (004)",1540,109,453,302,228,187,105,70,86
"Castellano (005)",11170,789,2991,2967,2301,1288,570,185,79
"Idioma extranjero (006)",18,,,5,5,3,3,2,
"Es sordomudo/a (007)",16,2,3,5,6,,,,
"Hombres (009)",10817,457,1863,2645,2500,1812,944,390,206
"Quechua (010)",3398,12,92,821,932,809,435,201,96
"Aymara (011)",153,,1,24,37,53,26,8,4
"Ashaninca (012)",8,,,3,1,2,2,,
"Otra lengua nativa (013)",798,53,226,148,118,104,58,45,46
"Castellano (014)",6439,391,1542,1643,1401,843,423,136,60
"Idioma extranjero (015)",8,,,2,5,1,,,
"Es sordomudo/a (016)",13,1,2,4,6,,,,
"Mujeres (018)",7906,462,1787,2205,1673,1040,450,173,116
"Quechua (019)",2333,7,106,690,647,496,239,93,55
"Aymara (020)",86,,4,32,16,14,14,4,2
"Ashaninca (021)",1,,,1,,,,,
"Otra lengua nativa (022)",742,56,227,154,110,83,47,25,40
"Castellano (023)",4731,398,1449,1324,900,445,147,49,19
"Idioma extranjero (024)",10,,,3,,2,3,2,
"Es sordomudo/a (025)",3,1,1,1,,,,,
,,,,,,,,,
"URBANA (027)",6704,333,1686,1463,1361,1061,510,185,105
"Quechua (028)",1804,7,70,374,486,451,244,106,66
"Aymara (029)",82,,2,8,19,26,22,2,3
"Ashaninca (030)",3,,,1,,1,1,,
"Otra lengua nativa (031)",149,3,39,44,18,17,10,5,13
"Castellano (032)",4651,322,1573,1031,835,564,232,71,23
"Idioma extranjero (033)",5,,,,1,2,1,1,
"Es sordomudo/a (034)",10,1,2,5,2,,,,
"Hombres (036)",3440,172,850,689,635,593,321,114,66
"Quechua (037)",863,7,40,151,201,230,133,61,40
"Aymara (038)",52,,1,4,10,19,15,2,1
"Ashaninca (039)",3,,,1,,1,1,,
"Otra lengua nativa (040)",70,1,17,15,10,10,5,4,8
"Castellano (041)",2444,164,791,514,411,333,167,47,17
"Idioma extranjero (042)",1,,,,1,,,,
"Es sordomudo/a (043)",7,,1,4,2,,,,
"Mujeres (045)",3264,161,836,774,726,468,189,71,39
"Quechua (046)",941,,30,223,285,221,111,45,26
"Aymara (047)",30,,1,4,9,7,7,,2
"Otra lengua nativa (049)",79,2,22,29,8,7,5,1,5
"Castellano (050)",2207,158,782,517,424,231,65,24,6
"Idioma extranjero (051)",4,,,,,2,1,1,
"Es sordomudo/a (052)",3,1,1,1,,,,,
,,,,,,,,,
"RURAL (054)",12019,586,1964,3387,2812,1791,884,378,217
"Quechua (055)",3927,12,128,1137,1093,854,430,188,85
"Aymara (056)",157,,3,48,34,41,18,10,3
"Ashaninca (057)",6,,,3,1,1,1,,
"Otra lengua nativa (058)",1391,106,414,258,210,170,95,65,73
"Castellano (059)",6519,467,1418,1936,1466,724,338,114,56
"Idioma extranjero (060)",13,,,5,4,1,2,1,
"Es sordomudo/a (061)",6,1,1,,4,,,,
"Hombres (063)",7377,285,1013,1956,1865,1219,623,276,140
"Quechua (064)",2535,5,52,670,731,579,302,140,56
"Aymara (065)",101,,,20,27,34,11,6,3
"Ashaninca (066)",5,,,2,1,1,1,,
"Otra lengua nativa (067)",728,52,209,133,108,94,53,41,38
"Castellano (068)",3995,227,751,1129,990,510,256,89,43
"Idioma extranjero (069)",7,,,2,4,1,,,
"Es sordomudo/a (070)",6,1,1,,4,,,,
"Mujeres (072)",4642,301,951,1431,947,572,261,102,77
"Quechua (073)",1392,7,76,467,362,275,128,48,29
"Aymara (074)",56,,3,28,7,7,7,4,
"Ashaninca (075)",1,,,1,,,,,
"Otra lengua nativa (076)",663,54,205,125,102,76,42,24,35
"Castellano (077)",2524,240,667,807,476,214,82,25,13
"Idioma extranjero (078)",6,,,3,,,2,1,
