"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia LA CONVENCION (000)",163558,3102,55029,42593,31901,22569,8364
"Casa independiente (001)",140421,2644,46950,36023,27226,19977,7601
"Departamento en edificio (002)",481,9,111,124,134,92,11
"Vivienda en quinta (003)",1669,38,464,522,398,190,57
"Vivienda en casa de vecindad (004)",9611,168,3062,2929,2141,998,313
"Choza o cabaña (005)",9889,226,3945,2599,1701,1096,322
"Vivienda improvisada (006)",1205,15,397,320,241,182,50
"Local no destinado para hab.humana (007)",180,2,63,44,41,25,5
"Otro tipo (008)",102,,37,32,19,9,5
,,,,,,,
"URBANA (009)",48050,797,15260,13458,10276,6308,1951
"Casa independiente (010)",34935,566,11181,9519,7329,4827,1513
"Departamento en edificio (011)",481,9,111,124,134,92,11
"Vivienda en quinta (012)",1669,38,464,522,398,190,57
"Vivienda en casa de vecindad (013)",9611,168,3062,2929,2141,998,313
"Vivienda improvisada (015)",1205,15,397,320,241,182,50
"Local no destinado para hab.humana (016)",99,1,28,27,24,16,3
"Otro tipo (017)",50,,17,17,9,3,4
,,,,,,,
"RURAL (018)",115508,2305,39769,29135,21625,16261,6413
"Casa independiente (019)",105486,2078,35769,26504,19897,15150,6088
"Choza o cabaña (023)",9889,226,3945,2599,1701,1096,322
"Local no destinado para hab.humana (025)",81,1,35,17,17,9,2
"Otro tipo (026)",52,,20,15,10,6,1
