"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia UTCUBAMBA",,,,,,
"Viviendas particulares (001)",25611,25249,319,35,8,
"Ocupantes presentes (002)",107795,104892,2423,377,103,
"Casa independiente",,,,,,
"Viviendas particulares (004)",24388,24050,301,30,7,
"Ocupantes presentes (005)",103724,101016,2290,326,92,
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",73,71,2,,,
"Ocupantes presentes (008)",187,178,9,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",566,551,10,4,1,
"Ocupantes presentes (011)",1643,1518,75,39,11,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",145,139,5,1,,
"Ocupantes presentes (014)",474,421,41,12,,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",404,403,1,,,
"Ocupantes presentes (017)",1669,1661,8,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",11,11,,,,
"Ocupantes presentes (020)",46,46,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",22,22,,,,
"Ocupantes presentes (023)",50,50,,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",2,2,,,,
"Ocupantes presentes (026)",2,2,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",11558,11289,235,28,6,
"Ocupantes presentes (029)",45821,43622,1816,303,80,
"Casa independiente",,,,,,
"Viviendas particulares (031)",10744,10498,218,23,5,
"Ocupantes presentes (032)",43424,41412,1691,252,69,
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",73,71,2,,,
"Ocupantes presentes (035)",187,178,9,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",566,551,10,4,1,
"Ocupantes presentes (038)",1643,1518,75,39,11,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",145,139,5,1,,
"Ocupantes presentes (041)",474,421,41,12,,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",11,11,,,,
"Ocupantes presentes (047)",46,46,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",17,17,,,,
"Ocupantes presentes (050)",45,45,,,,
"Otro tipo",,,,,,
"Viviendas particulares (052)",2,2,,,,
"Ocupantes presentes (053)",2,2,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",14053,13960,84,7,2,
"Ocupantes presentes (056)",61974,61270,607,74,23,
"Casa independiente",,,,,,
"Viviendas particulares (058)",13644,13552,83,7,2,
"Ocupantes presentes (059)",60300,59604,599,74,23,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",404,403,1,,,
"Ocupantes presentes (071)",1669,1661,8,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",5,5,,,,
"Ocupantes presentes (077)",5,5,,,,
"Otro tipo",,,,,,
