"CUADRO Nº 19: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HABITACIONES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HABITACIONES DE LA VIVIENDA",,,,,,,
,,1,2,3,4,5,6,7,"8 Y MÁS"
,,,,,,,,,
"Provincia MARISCAL LUZURIAGA",,,,,,,,,
"Viviendas particulares (001)",5380,603,1656,874,1081,319,489,94,264
"Ocupantes presentes (002)",23182,2010,6738,3882,4960,1543,2302,457,1290
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",5332,594,1638,863,1073,317,489,94,264
"Ocupantes presentes (005)",22993,1986,6664,3839,4924,1531,2302,457,1290
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",46,9,17,10,8,2,,,
"Ocupantes presentes (017)",181,24,71,38,36,12,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",2,,1,1,,,,,
"Ocupantes presentes (023)",8,,3,5,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",689,39,135,71,149,54,88,33,120
"Ocupantes presentes (029)",2761,103,454,293,585,223,382,150,571
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",688,39,134,71,149,54,88,33,120
"Ocupantes presentes (032)",2758,103,451,293,585,223,382,150,571
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",1,,1,,,,,,
"Ocupantes presentes (050)",3,,3,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",4691,564,1521,803,932,265,401,61,144
"Ocupantes presentes (056)",20421,1907,6284,3589,4375,1320,1920,307,719
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",4644,555,1504,792,924,263,401,61,144
"Ocupantes presentes (059)",20235,1883,6213,3546,4339,1308,1920,307,719
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",46,9,17,10,8,2,,,
"Ocupantes presentes (071)",181,24,71,38,36,12,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",1,,,1,,,,,
"Ocupantes presentes (077)",5,,,5,,,,,
"Otro tipo",,,,,,,,,
