"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia JORGE BASADRE (000)",9430,310,1376,1796,1998,1581,1247,645,477
"Quechua (001)",378,1,3,126,73,56,64,32,23
"Aymara (002)",1499,3,31,239,305,306,274,176,165
"Ashaninca (003)",2,,1,,,,1,,
"Otra lengua nativa (004)",15,1,,3,9,2,,,
"Castellano (005)",7533,305,1340,1428,1609,1217,908,437,289
"Es sordomudo/a (007)",3,,1,,2,,,,
"Hombres (009)",5699,163,699,1142,1203,981,819,425,267
"Quechua (010)",274,,1,103,40,44,46,24,16
"Aymara (011)",928,1,15,146,186,192,180,121,87
"Otra lengua nativa (013)",9,,,3,6,,,,
"Castellano (014)",4486,162,682,890,970,745,593,280,164
"Es sordomudo/a (016)",2,,1,,1,,,,
"Mujeres (018)",3731,147,677,654,795,600,428,220,210
"Quechua (019)",104,1,2,23,33,12,18,8,7
"Aymara (020)",571,2,16,93,119,114,94,55,78
"Ashaninca (021)",2,,1,,,,1,,
"Otra lengua nativa (022)",6,1,,,3,2,,,
"Castellano (023)",3047,143,658,538,639,472,315,157,125
"Es sordomudo/a (025)",1,,,,1,,,,
,,,,,,,,,
"URBANA (027)",5935,176,831,1211,1318,1011,822,377,189
"Quechua (028)",288,,2,111,45,41,50,24,15
"Aymara (029)",762,1,7,135,152,168,151,85,63
"Ashaninca (030)",1,,1,,,,,,
"Otra lengua nativa (031)",15,1,,3,9,2,,,
"Castellano (032)",4866,174,820,962,1110,800,621,268,111
"Es sordomudo/a (034)",3,,1,,2,,,,
"Hombres (036)",3694,92,420,809,806,640,566,257,104
"Quechua (037)",215,,,96,23,33,35,18,10
"Aymara (038)",488,,4,90,97,108,99,62,28
"Otra lengua nativa (040)",9,,,3,6,,,,
"Castellano (041)",2980,92,415,620,679,499,432,177,66
"Es sordomudo/a (043)",2,,1,,1,,,,
"Mujeres (045)",2241,84,411,402,512,371,256,120,85
"Quechua (046)",73,,2,15,22,8,15,6,5
"Aymara (047)",274,1,3,45,55,60,52,23,35
"Ashaninca (048)",1,,1,,,,,,
"Otra lengua nativa (049)",6,1,,,3,2,,,
"Castellano (050)",1886,82,405,342,431,301,189,91,45
"Es sordomudo/a (052)",1,,,,1,,,,
,,,,,,,,,
"RURAL (054)",3495,134,545,585,680,570,425,268,288
"Quechua (055)",90,1,1,15,28,15,14,8,8
"Aymara (056)",737,2,24,104,153,138,123,91,102
"Ashaninca (057)",1,,,,,,1,,
"Castellano (059)",2667,131,520,466,499,417,287,169,178
"Hombres (063)",2005,71,279,333,397,341,253,168,163
"Quechua (064)",59,,1,7,17,11,11,6,6
"Aymara (065)",440,1,11,56,89,84,81,59,59
"Castellano (068)",1506,70,267,270,291,246,161,103,98
"Mujeres (072)",1490,63,266,252,283,229,172,100,125
"Quechua (073)",31,1,,8,11,4,3,2,2
"Aymara (074)",297,1,13,48,64,54,42,32,43
"Ashaninca (075)",1,,,,,,1,,
"Castellano (077)",1161,61,253,196,208,171,126,66,80
