"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CORONEL PORTILLO (000)",309306,24509,8222,104493,120701,14550,14554,9920,12357
"Quechua (001)",2331,253,17,878,805,110,101,55,112
"Aymara (002)",220,22,4,78,80,7,13,6,10
"Ashaninca (003)",1579,538,38,797,166,8,12,12,8
"Otra lengua nativa (004)",17660,2244,657,7717,5643,493,470,243,193
"Castellano (005)",287049,21291,7492,94902,113921,13922,13940,9598,11983
"Idioma extranjero (006)",152,14,,22,39,6,17,5,49
"Es sordomudo/a (007)",315,147,14,99,47,4,1,1,2
"Hombres (009)",156553,11621,4138,50105,63219,7674,7078,5734,6984
"Quechua (010)",1343,57,9,468,532,74,78,39,86
"Aymara (011)",131,10,1,43,55,4,9,3,6
"Ashaninca (012)",829,257,20,418,110,4,8,7,5
"Otra lengua nativa (013)",9079,1035,324,3579,3107,340,376,175,143
"Castellano (014)",144928,10174,3777,45542,59376,7247,6598,5506,6708
"Idioma extranjero (015)",80,5,,7,19,2,9,3,35
"Es sordomudo/a (016)",163,83,7,48,20,3,,1,1
"Mujeres (018)",152753,12888,4084,54388,57482,6876,7476,4186,5373
"Quechua (019)",988,196,8,410,273,36,23,16,26
"Aymara (020)",89,12,3,35,25,3,4,3,4
"Ashaninca (021)",750,281,18,379,56,4,4,5,3
"Otra lengua nativa (022)",8581,1209,333,4138,2536,153,94,68,50
"Castellano (023)",142121,11117,3715,49360,54545,6675,7342,4092,5275
"Idioma extranjero (024)",72,9,,15,20,4,8,2,14
"Es sordomudo/a (025)",152,64,7,51,27,1,1,,1
,,,,,,,,,
"URBANA (027)",261958,18568,6922,80049,106672,13904,14048,9721,12074
"Quechua (028)",2149,223,13,787,753,108,98,55,112
"Aymara (029)",193,17,3,68,69,7,13,6,10
"Ashaninca (030)",285,35,11,111,95,6,11,10,6
"Otra lengua nativa (031)",4830,474,146,1691,1678,240,251,203,147
"Castellano (032)",254121,17691,6737,77289,104005,13533,13664,9444,11758
"Idioma extranjero (033)",114,10,,15,32,6,10,2,39
"Es sordomudo/a (034)",266,118,12,88,40,4,1,1,2
"Hombres (036)",130278,8752,3465,37136,54640,7204,6700,5593,6788
"Quechua (037)",1229,46,6,410,495,72,75,39,86
"Aymara (038)",120,7,1,40,50,4,9,3,6
"Ashaninca (039)",141,11,6,40,63,3,8,6,4
"Otra lengua nativa (040)",2418,209,72,729,841,142,184,140,101
"Castellano (041)",126171,8412,3374,35870,53156,6978,6418,5402,6561
"Idioma extranjero (042)",62,2,,4,17,2,6,2,29
"Es sordomudo/a (043)",137,65,6,43,18,3,,1,1
"Mujeres (045)",131680,9816,3457,42913,52032,6700,7348,4128,5286
"Quechua (046)",920,177,7,377,258,36,23,16,26
"Aymara (047)",73,10,2,28,19,3,4,3,4
"Ashaninca (048)",144,24,5,71,32,3,3,4,2
"Otra lengua nativa (049)",2412,265,74,962,837,98,67,63,46
"Castellano (050)",127950,9279,3363,41419,50849,6555,7246,4042,5197
"Idioma extranjero (051)",52,8,,11,15,4,4,,10
"Es sordomudo/a (052)",129,53,6,45,22,1,1,,1
,,,,,,,,,
"RURAL (054)",47348,5941,1300,24444,14029,646,506,199,283
"Quechua (055)",182,30,4,91,52,2,3,,
"Aymara (056)",27,5,1,10,11,,,,
"Ashaninca (057)",1294,503,27,686,71,2,1,2,2
"Otra lengua nativa (058)",12830,1770,511,6026,3965,253,219,40,46
"Castellano (059)",32928,3600,755,17613,9916,389,276,154,225
"Idioma extranjero (060)",38,4,,7,7,,7,3,10
"Es sordomudo/a (061)",49,29,2,11,7,,,,
"Hombres (063)",26275,2869,673,12969,8579,470,378,141,196
"Quechua (064)",114,11,3,58,37,2,3,,
"Aymara (065)",11,3,,3,5,,,,
"Ashaninca (066)",688,246,14,378,47,1,,1,1
"Otra lengua nativa (067)",6661,826,252,2850,2266,198,192,35,42
"Castellano (068)",18757,1762,403,9672,6220,269,180,104,147
"Idioma extranjero (069)",18,3,,3,2,,3,1,6
"Es sordomudo/a (070)",26,18,1,5,2,,,,
"Mujeres (072)",21073,3072,627,11475,5450,176,128,58,87
"Quechua (073)",68,19,1,33,15,,,,
"Aymara (074)",16,2,1,7,6,,,,
"Ashaninca (075)",606,257,13,308,24,1,1,1,1
"Otra lengua nativa (076)",6169,944,259,3176,1699,55,27,5,4
"Castellano (077)",14171,1838,352,7941,3696,120,96,50,78
"Idioma extranjero (078)",20,1,,4,5,,4,2,4
"Es sordomudo/a (079)",23,11,1,6,5,,,,
