"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia LEONCIO PRADO (000)",101702,8162,956,44198,34062,2722,2888,4265,4449
"Hombres (001)",53297,2780,505,23523,18862,1373,1404,2371,2479
"Mujeres (002)",48405,5382,451,20675,15200,1349,1484,1894,1970
"PEA (003)",46569,3364,56,16701,17058,1550,2218,2077,3545
"Hombres (004)",33650,2078,37,12935,12752,1026,1266,1413,2143
"Mujeres (005)",12919,1286,19,3766,4306,524,952,664,1402
"Ocupada (006)",44205,3201,49,15955,16121,1453,2110,1954,3362
"Hombres (007)",31965,1972,34,12342,12053,967,1212,1337,2048
"Mujeres (008)",12240,1229,15,3613,4068,486,898,617,1314
"Desocupada (009)",2364,163,7,746,937,97,108,123,183
"Hombres (010)",1685,106,3,593,699,59,54,76,95
"Mujeres (011)",679,57,4,153,238,38,54,47,88
"No PEA (012)",55133,4798,900,27497,17004,1172,670,2188,904
"Hombres (013)",19647,702,468,10588,6110,347,138,958,336
"Mujeres (014)",35486,4096,432,16909,10894,825,532,1230,568
,,,,,,,,,
"URBANA (018)",60602,2409,551,20619,23871,2318,2628,3993,4213
"Hombres (019)",30208,621,277,9860,12524,1135,1256,2191,2344
"Mujeres (020)",30394,1788,274,10759,11347,1183,1372,1802,1869
"PEA (021)",28049,925,28,6706,11736,1333,2025,1930,3366
"Hombres (022)",17931,363,14,4233,8019,851,1134,1287,2030
"Mujeres (023)",10118,562,14,2473,3717,482,891,643,1336
"Ocupada (024)",26549,890,25,6395,11056,1245,1931,1816,3191
"Hombres (025)",16962,343,14,4007,7554,798,1087,1219,1940
"Mujeres (026)",9587,547,11,2388,3502,447,844,597,1251
"Desocupada (027)",1500,35,3,311,680,88,94,114,175
"Hombres (028)",969,20,,226,465,53,47,68,90
"Mujeres (029)",531,15,3,85,215,35,47,46,85
"No PEA (030)",32553,1484,523,13913,12135,985,603,2063,847
"Hombres (031)",12277,258,263,5627,4505,284,122,904,314
"Mujeres (032)",20276,1226,260,8286,7630,701,481,1159,533
,,,,,,,,,
"RURAL (036)",41100,5753,405,23579,10191,404,260,272,236
"Hombres (037)",23089,2159,228,13663,6338,238,148,180,135
"Mujeres (038)",18011,3594,177,9916,3853,166,112,92,101
"PEA (039)",18520,2439,28,9995,5322,217,193,147,179
"Hombres (040)",15719,1715,23,8702,4733,175,132,126,113
"Mujeres (041)",2801,724,5,1293,589,42,61,21,66
"Ocupada (042)",17656,2311,24,9560,5065,208,179,138,171
"Hombres (043)",15003,1629,20,8335,4499,169,125,118,108
"Mujeres (044)",2653,682,4,1225,566,39,54,20,63
"Desocupada (045)",864,128,4,435,257,9,14,9,8
"Hombres (046)",716,86,3,367,234,6,7,8,5
"Mujeres (047)",148,42,1,68,23,3,7,1,3
"No PEA (048)",22580,3314,377,13584,4869,187,67,125,57
"Hombres (049)",7370,444,205,4961,1605,63,16,54,22
"Mujeres (050)",15210,2870,172,8623,3264,124,51,71,35
