"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ALTO AMAZONAS (000)",33372,26639,3132,1771,1830
"Agric., ganadería, caza y silvicultura (001)",17281,15734,1247,199,101
"Pesca (002)",304,278,18,8,
"Explotación de minas y canteras (003)",21,4,,,17
"Industrias manufactureras (004)",1122,841,159,99,23
"Suministro de electricidad, gas y agua (005)",51,9,8,25,9
"Construcción (006)",1164,627,259,189,89
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3914,3550,290,68,6
"Venta, mant.y rep. veh.autom y motoc. (008)",383,336,32,10,5
"Comercio al por mayor (009)",192,139,35,17,1
"Comercio al por menor (010)",3339,3075,223,41,
"Hoteles y restaurantes (011)",1080,935,94,31,20
"Trans., almac. y comunicaciones (012)",1943,1472,165,162,144
"Intermediación financiera (013)",44,6,19,19,
"Activid.inmobil., empres. y alquileres (014)",683,321,126,135,101
"Admin.pub. y defensa; p. segur soc.afil (015)",603,,,,603
"Enseñanza (016)",1928,455,516,649,308
"Servicios sociales y de salud (017)",454,106,26,25,297
"Otras activ. serv.comun.soc y personales (018)",506,374,65,48,19
"Hogares privados con servicio doméstico (019)",1060,1060,,,
"Actividad economica no especificada (021)",1214,867,140,114,93
"Hombres (022)",23727,18905,2321,1226,1275
"Agric., ganadería, caza y silvicultura (023)",14030,12763,1012,161,94
"Pesca (024)",290,267,17,6,
"Explotación de minas y canteras (025)",19,3,,,16
"Industrias manufactureras (026)",857,616,134,87,20
"Suministro de electricidad, gas y agua (027)",44,9,7,19,9
"Construcción (028)",1134,615,255,177,87
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1973,1757,168,44,4
"Venta, mant.y rep. veh.autom y motoc. (030)",360,319,28,9,4
"Comercio al por mayor (031)",104,75,18,11,
"Comercio al por menor (032)",1509,1363,122,24,
"Hoteles y restaurantes (033)",244,179,36,19,10
"Trans., almac. y comunicaciones (034)",1838,1399,150,146,143
"Intermediación financiera (035)",28,2,10,16,
"Activid.inmobil., empres. y alquileres (036)",493,229,83,101,80
"Admin.pub. y defensa; p. segur soc.afil (037)",430,,,,430
"Enseñanza (038)",1087,256,304,341,186
"Servicios sociales y de salud (039)",219,64,15,14,126
"Otras activ. serv.comun.soc y personales (040)",294,211,43,29,11
