"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia URUBAMBA (000)",520,121,399
"Sin nivel (001)",19,2,17
"Educación inicial (002)",2,,2
"Primaria (003)",106,20,86
"Secundaria (004)",266,75,191
"Superior no univ. incompleta (005)",35,8,27
"Superior no univ. completa (006)",48,10,38
"Superior univ. incompleta (007)",17,4,13
"Superior univ. completa (008)",27,2,25
"Hombres (010)",368,75,293
"Sin nivel (011)",14,,14
"Educación inicial (012)",2,,2
"Primaria (013)",82,15,67
"Secundaria (014)",197,45,152
"Superior no univ. incompleta (015)",20,6,14
"Superior no univ. completa (016)",27,6,21
"Superior univ. incompleta (017)",9,3,6
"Superior univ. completa (018)",17,,17
"Mujeres (020)",152,46,106
"Sin nivel (021)",5,2,3
"Primaria (023)",24,5,19
"Secundaria (024)",69,30,39
"Superior no univ. incompleta (025)",15,2,13
"Superior no univ. completa (026)",21,4,17
"Superior univ. incompleta (027)",8,1,7
"Superior univ. completa (028)",10,2,8
,,,
"AREA URBANA (030)",333,82,251
"Sin nivel (031)",4,1,3
"Primaria (033)",55,12,43
"Secundaria (034)",165,50,115
"Superior no univ. incompleta (035)",29,6,23
"Superior no univ. completa (036)",40,7,33
"Superior univ. incompleta (037)",14,4,10
"Superior univ. completa (038)",26,2,24
"Hombres (040)",205,48,157
"Sin nivel (041)",1,,1
"Primaria (043)",34,9,25
"Secundaria (044)",111,28,83
"Superior no univ. incompleta (045)",16,4,12
"Superior no univ. completa (046)",20,4,16
"Superior univ. incompleta (047)",7,3,4
"Superior univ. completa (048)",16,,16
"Mujeres (050)",128,34,94
"Sin nivel (051)",3,1,2
"Primaria (053)",21,3,18
"Secundaria (054)",54,22,32
"Superior no univ. incompleta (055)",13,2,11
"Superior no univ. completa (056)",20,3,17
"Superior univ. incompleta (057)",7,1,6
"Superior univ. completa (058)",10,2,8
,,,
"AREA RURAL (060)",187,39,148
"Sin nivel (061)",15,1,14
"Educación inicial (062)",2,,2
"Primaria (063)",51,8,43
"Secundaria (064)",101,25,76
"Superior no univ. incompleta (065)",6,2,4
"Superior no univ. completa (066)",8,3,5
"Superior univ. incompleta (067)",3,,3
"Superior univ. completa (068)",1,,1
"Hombres (070)",163,27,136
"Sin nivel (071)",13,,13
"Educación inicial (072)",2,,2
"Primaria (073)",48,6,42
"Secundaria (074)",86,17,69
"Superior no univ. incompleta (075)",4,2,2
"Superior no univ. completa (076)",7,2,5
"Superior univ. incompleta (077)",2,,2
"Superior univ. completa (078)",1,,1
"Mujeres (080)",24,12,12
"Sin nivel (081)",2,1,1
"Primaria (083)",3,2,1
"Secundaria (084)",15,8,7
"Superior no univ. incompleta (085)",2,,2
"Superior no univ. completa (086)",1,1,
"Superior univ. incompleta (087)",1,,1
