"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia TAYACAJA",,,,,,,,
"Hogares (001)",25935,14991,6148,947,110,393,333,9856
"Ocupantes presentes (002)",104406,64680,26828,4000,430,1480,1366,35111
"Casa independiente",,,,,,,,
"Hogares (004)",24560,14551,5986,904,108,384,302,8959
"Ocupantes presentes (005)",98964,62739,26154,3817,417,1430,1255,31756
"Departamento en edificio",,,,,,,,
"Hogares (007)",3,2,2,1,,,,1
"Ocupantes presentes (008)",12,8,8,3,,,,4
"Vivienda en quinta",,,,,,,,
"Hogares (010)",85,64,49,18,1,5,11,14
"Ocupantes presentes (011)",330,254,204,86,7,35,50,59
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",160,110,78,19,1,3,18,32
"Ocupantes presentes (014)",618,432,322,73,6,14,58,121
"Choza o cabaña",,,,,,,,
"Hogares (016)",1098,250,28,5,,,1,836
"Ocupantes presentes (017)",4415,1208,125,21,,,2,3149
"Vivienda improvisada",,,,,,,,
"Hogares (019)",10,6,3,,,,,3
"Ocupantes presentes (020)",33,19,11,,,,,8
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",17,7,1,,,1,1,10
"Ocupantes presentes (023)",30,17,1,,,1,1,13
"Otro tipo",,,,,,,,
"Hogares (025)",2,1,1,,,,,1
"Ocupantes presentes (026)",4,3,3,,,,,1
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",6521,4414,2684,676,92,319,301,1664
"Ocupantes presentes (029)",25197,17962,11045,2799,353,1188,1234,5517
"Casa independiente",,,,,,,,
"Hogares (031)",6254,4229,2551,638,90,311,272,1608
"Ocupantes presentes (032)",24195,17246,10499,2637,340,1139,1126,5319
"Departamento en edificio",,,,,,,,
"Hogares (034)",3,2,2,1,,,,1
"Ocupantes presentes (035)",12,8,8,3,,,,4
"Vivienda en quinta",,,,,,,,
"Hogares (037)",85,64,49,18,1,5,11,14
"Ocupantes presentes (038)",330,254,204,86,7,35,50,59
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",160,110,78,19,1,3,18,32
"Ocupantes presentes (041)",618,432,322,73,6,14,58,121
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",10,6,3,,,,,3
"Ocupantes presentes (047)",33,19,11,,,,,8
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",9,3,1,,,,,6
"Ocupantes presentes (050)",9,3,1,,,,,6
"Otro tipo",,,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",19414,10577,3464,271,18,74,32,8192
"Ocupantes presentes (056)",79209,46718,15783,1201,77,292,132,29594
"Casa independiente",,,,,,,,
"Hogares (058)",18306,10322,3435,266,18,73,30,7351
"Ocupantes presentes (059)",74769,45493,15655,1180,77,291,129,26437
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",1098,250,28,5,,,1,836
"Ocupantes presentes (071)",4415,1208,125,21,,,2,3149
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",8,4,,,,1,1,4
"Ocupantes presentes (077)",21,14,,,,1,1,7
"Otro tipo",,,,,,,,
"Hogares (079)",2,1,1,,,,,1
"Ocupantes presentes (080)",4,3,3,,,,,1
