"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia HUARAL (000)",69059,9057,18406,17330,24266
"Asiste actualmente (001)",47514,6001,17765,15819,7929
"No asiste (002)",21545,3056,641,1511,16337
"Hombres (004)",35150,4625,9358,8832,12335
"Asiste actualmente (005)",23955,3025,9028,8041,3861
"No asiste (006)",11195,1600,330,791,8474
"Mujeres (008)",33909,4432,9048,8498,11931
"Asiste actualmente (009)",23559,2976,8737,7778,4068
"No asiste (010)",10350,1456,311,720,7863
,,,,,
"URBANA (012)",57666,7540,15465,14659,20002
"Asiste actualmente (013)",40354,5155,14905,13439,6855
"No asiste (014)",17312,2385,560,1220,13147
"Hombres (016)",29082,3872,7844,7408,9958
"Asiste actualmente (017)",20224,2614,7560,6762,3288
"No asiste (018)",8858,1258,284,646,6670
"Mujeres (020)",28584,3668,7621,7251,10044
"Asiste actualmente (021)",20130,2541,7345,6677,3567
"No asiste (022)",8454,1127,276,574,6477
,,,,,
"RURAL (024)",11393,1517,2941,2671,4264
"Asiste actualmente (025)",7160,846,2860,2380,1074
"No asiste (026)",4233,671,81,291,3190
"Hombres (028)",6068,753,1514,1424,2377
"Asiste actualmente (029)",3731,411,1468,1279,573
"No asiste (030)",2337,342,46,145,1804
"Mujeres (032)",5325,764,1427,1247,1887
"Asiste actualmente (033)",3429,435,1392,1101,501
"No asiste (034)",1896,329,35,146,1386
