"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia AZANGARO (000)",34863,189,11012,13863,4005,1234,505,192,28,,3835
"Catolica (001)",28488,146,9027,11351,3219,990,408,157,24,,3166
"Cristiana / Evangelica (002)",2976,19,940,1168,369,107,40,14,,,319
"Otra (003)",2851,22,873,1150,347,114,53,19,2,,271
"Ninguna (004)",548,2,172,194,70,23,4,2,2,,79
,,,,,,,,,,,
"URBANA (006)",9184,54,2753,3422,1114,384,160,71,10,,1216
"Catolica (007)",7634,45,2317,2831,927,327,133,60,8,,986
"Cristiana / Evangelica (008)",691,5,194,261,86,27,8,6,,,104
"Otra (009)",718,4,203,280,88,28,17,4,2,,92
"Ninguna (010)",141,,39,50,13,2,2,1,,,34
,,,,,,,,,,,
"RURAL (012)",25679,135,8259,10441,2891,850,345,121,18,,2619
"Catolica (013)",20854,101,6710,8520,2292,663,275,97,16,,2180
"Cristiana / Evangelica (014)",2285,14,746,907,283,80,32,8,,,215
"Otra (015)",2133,18,670,870,259,86,36,15,,,179
"Ninguna (016)",407,2,133,144,57,21,2,1,2,,45
