"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia VIRU (000)",37427,5207,9236,8470,14514
"Asiste actualmente (001)",19343,1893,8474,6432,2544
"No asiste (002)",18084,3314,762,2038,11970
"Hombres (004)",19258,2611,4733,4270,7644
"Asiste actualmente (005)",9889,942,4350,3252,1345
"No asiste (006)",9369,1669,383,1018,6299
"Mujeres (008)",18169,2596,4503,4200,6870
"Asiste actualmente (009)",9454,951,4124,3180,1199
"No asiste (010)",8715,1645,379,1020,5671
,,,,,
"URBANA (012)",29268,4041,7131,6429,11667
"Asiste actualmente (013)",15115,1522,6554,4970,2069
"No asiste (014)",14153,2519,577,1459,9598
"Hombres (016)",14949,2030,3643,3183,6093
"Asiste actualmente (017)",7684,760,3365,2469,1090
"No asiste (018)",7265,1270,278,714,5003
"Mujeres (020)",14319,2011,3488,3246,5574
"Asiste actualmente (021)",7431,762,3189,2501,979
"No asiste (022)",6888,1249,299,745,4595
,,,,,
"RURAL (024)",8159,1166,2105,2041,2847
"Asiste actualmente (025)",4228,371,1920,1462,475
"No asiste (026)",3931,795,185,579,2372
"Hombres (028)",4309,581,1090,1087,1551
"Asiste actualmente (029)",2205,182,985,783,255
"No asiste (030)",2104,399,105,304,1296
"Mujeres (032)",3850,585,1015,954,1296
"Asiste actualmente (033)",2023,189,935,679,220
"No asiste (034)",1827,396,80,275,1076
