"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CANAS (000)",35788,7156,1080,16660,9099,508,520,412,353
"Quechua (001)",32790,6691,935,15505,8189,430,465,289,286
"Aymara (002)",31,12,3,12,3,,1,,
"Ashaninca (003)",6,,,5,1,,,,
"Otra lengua nativa (004)",11,,,3,5,,2,,1
"Castellano (005)",2910,430,141,1129,895,77,51,122,65
"Es sordomudo/a (007)",40,23,1,6,6,1,1,1,1
"Hombres (009)",17906,2263,549,8236,5632,353,370,256,247
"Quechua (010)",16226,2004,477,7607,5103,302,335,190,208
"Aymara (011)",15,8,2,2,2,,1,,
"Ashaninca (012)",6,,,5,1,,,,
"Otra lengua nativa (013)",4,,,,1,,2,,1
"Castellano (014)",1638,243,69,619,521,51,31,66,38
"Es sordomudo/a (016)",17,8,1,3,4,,1,,
"Mujeres (018)",17882,4893,531,8424,3467,155,150,156,106
"Quechua (019)",16564,4687,458,7898,3086,128,130,99,78
"Aymara (020)",16,4,1,10,1,,,,
"Otra lengua nativa (022)",7,,,3,4,,,,
"Castellano (023)",1272,187,72,510,374,26,20,56,27
"Es sordomudo/a (025)",23,15,,3,2,1,,1,1
,,,,,,,,,
"URBANA (027)",5795,756,183,2060,1837,196,276,260,227
"Quechua (028)",4179,544,98,1452,1375,151,235,153,171
"Aymara (029)",9,6,,1,1,,1,,
"Ashaninca (030)",2,,,1,1,,,,
"Otra lengua nativa (031)",8,,,1,4,,2,,1
"Castellano (032)",1590,204,84,605,455,44,38,106,54
"Es sordomudo/a (034)",7,2,1,,1,1,,1,1
"Hombres (036)",2909,245,91,967,1004,127,183,142,150
"Quechua (037)",2041,135,48,639,759,97,159,85,119
"Aymara (038)",7,5,,,1,,1,,
"Ashaninca (039)",2,,,1,1,,,,
"Otra lengua nativa (040)",4,,,,1,,2,,1
"Castellano (041)",854,105,42,327,242,30,21,57,30
"Es sordomudo/a (043)",1,,1,,,,,,
"Mujeres (045)",2886,511,92,1093,833,69,93,118,77
"Quechua (046)",2138,409,50,813,616,54,76,68,52
"Aymara (047)",2,1,,1,,,,,
"Otra lengua nativa (049)",4,,,1,3,,,,
"Castellano (050)",736,99,42,278,213,14,17,49,24
"Es sordomudo/a (052)",6,2,,,1,1,,1,1
,,,,,,,,,
"RURAL (054)",29993,6400,897,14600,7262,312,244,152,126
"Quechua (055)",28611,6147,837,14053,6814,279,230,136,115
"Aymara (056)",22,6,3,11,2,,,,
"Ashaninca (057)",4,,,4,,,,,
"Otra lengua nativa (058)",3,,,2,1,,,,
"Castellano (059)",1320,226,57,524,440,33,13,16,11
"Es sordomudo/a (061)",33,21,,6,5,,1,,
"Hombres (063)",14997,2018,458,7269,4628,226,187,114,97
"Quechua (064)",14185,1869,429,6968,4344,205,176,105,89
"Aymara (065)",8,3,2,2,1,,,,
"Ashaninca (066)",4,,,4,,,,,
"Castellano (068)",784,138,27,292,279,21,10,9,8
"Es sordomudo/a (070)",16,8,,3,4,,1,,
"Mujeres (072)",14996,4382,439,7331,2634,86,57,38,29
"Quechua (073)",14426,4278,408,7085,2470,74,54,31,26
"Aymara (074)",14,3,1,9,1,,,,
"Otra lengua nativa (076)",3,,,2,1,,,,
"Castellano (077)",536,88,30,232,161,12,3,7,3
"Es sordomudo/a (079)",17,13,,3,1,,,,
