"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia SAN MARTIN (000)",38662,37776,35559,1768,449,886,139,200,463,84
"Casa independiente (001)",33788,33117,31697,1215,205,671,78,192,340,61
"Departamento en edificio (002)",273,265,239,26,,8,5,1,1,1
"Vivienda en quinta (003)",2024,1930,1810,112,8,94,44,6,40,4
"Vivienda en casa de vecindad (004)",424,402,376,26,,22,12,1,3,6
"Choza o cabaña (005)",1806,1723,1130,363,230,83,,,71,12
"Vivienda improvisada (006)",252,244,212,26,6,8,,,8,
"Local no dest.para hab. humana (007)",70,70,70,,,,,,,
"Otro tipo (008)",25,25,25,,,,,,,
,,,,,,,,,,
"URBANA (009)",33894,33166,32067,970,129,728,136,176,354,62
"Casa independiente (010)",30831,30235,29340,780,115,596,75,168,302,51
"Departamento en edificio (011)",273,265,239,26,,8,5,1,1,1
"Vivienda en quinta (012)",2024,1930,1810,112,8,94,44,6,40,4
"Vivienda en casa de vecindad (013)",424,402,376,26,,22,12,1,3,6
"Vivienda improvisada (015)",252,244,212,26,6,8,,,8,
"Local no dest.para hab. humana (016)",67,67,67,,,,,,,
"Otro tipo (017)",23,23,23,,,,,,,
,,,,,,,,,,
"RURAL (018)",4768,4610,3492,798,320,158,3,24,109,22
"Casa independiente (019)",2957,2882,2357,435,90,75,3,24,38,10
"Choza o cabaña (023)",1806,1723,1130,363,230,83,,,71,12
"Local no dest.para hab. humana (025)",3,3,3,,,,,,,
"Otro tipo (026)",2,2,2,,,,,,,
