"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia MOYOBAMBA (000)",40727,7016,6122,20533,1390,4376,1290
"Sin nivel (001)",1853,24,323,1092,74,262,78
"Educación inicial (002)",58,3,16,31,,6,2
"Primaria (003)",19147,496,3297,11534,713,2501,606
"Secundaria (004)",12307,1703,2174,6078,429,1418,505
"Superior no univ. incompleta (005)",1411,609,114,526,34,82,46
"Superior no univ. completa (006)",3124,2185,125,655,60,62,37
"Superior univ. incompleta (007)",782,448,28,249,23,27,7
"Superior univ. completa (008)",2045,1548,45,368,57,18,9
"Hombres (010)",29988,3851,5305,16847,1196,2734,55
"Sin nivel (011)",1174,6,220,793,59,92,4
"Educación inicial (012)",45,1,12,27,,5,
"Primaria (013)",15025,234,2822,9785,635,1525,24
"Secundaria (014)",9422,1049,1980,4980,371,1023,19
"Superior no univ. incompleta (015)",827,298,98,366,26,38,1
"Superior no univ. completa (016)",1677,1078,109,420,43,25,2
"Superior univ. incompleta (017)",533,273,21,203,18,15,3
"Superior univ. completa (018)",1285,912,43,273,44,11,2
"Mujeres (020)",10739,3165,817,3686,194,1642,1235
"Sin nivel (021)",679,18,103,299,15,170,74
"Educación inicial (022)",13,2,4,4,,1,2
"Primaria (023)",4122,262,475,1749,78,976,582
"Secundaria (024)",2885,654,194,1098,58,395,486
"Superior no univ. incompleta (025)",584,311,16,160,8,44,45
"Superior no univ. completa (026)",1447,1107,16,235,17,37,35
"Superior univ. incompleta (027)",249,175,7,46,5,12,4
"Superior univ. completa (028)",760,636,2,95,13,7,7
,,,,,,,
"URBANA (030)",25855,6805,3507,11547,871,1961,1164
"Sin nivel (031)",692,20,115,378,30,92,57
"Educación inicial (032)",20,2,4,11,,1,2
"Primaria (033)",8992,457,1548,5198,367,895,527
"Secundaria (034)",9069,1645,1554,4264,307,820,479
"Superior no univ. incompleta (035)",1310,592,100,477,33,62,46
"Superior no univ. completa (036)",3017,2123,118,625,58,56,37
"Superior univ. incompleta (037)",745,437,25,234,21,21,7
"Superior univ. completa (038)",2010,1529,43,360,55,14,9
"Hombres (040)",17150,3720,3011,8644,700,1038,37
"Sin nivel (041)",336,4,70,219,18,23,2
"Educación inicial (042)",14,1,4,8,,1,
"Primaria (043)",6227,220,1284,3970,306,434,13
"Secundaria (044)",6481,1008,1407,3278,251,523,14
"Superior no univ. incompleta (045)",744,290,84,322,25,22,1
"Superior no univ. completa (046)",1596,1037,102,394,42,19,2
"Superior univ. incompleta (047)",498,263,19,188,16,9,3
"Superior univ. completa (048)",1254,897,41,265,42,7,2
"Mujeres (050)",8705,3085,496,2903,171,923,1127
"Sin nivel (051)",356,16,45,159,12,69,55
"Educación inicial (052)",6,1,,3,,,2
"Primaria (053)",2765,237,264,1228,61,461,514
"Secundaria (054)",2588,637,147,986,56,297,465
"Superior no univ. incompleta (055)",566,302,16,155,8,40,45
"Superior no univ. completa (056)",1421,1086,16,231,16,37,35
"Superior univ. incompleta (057)",247,174,6,46,5,12,4
"Superior univ. completa (058)",756,632,2,95,13,7,7
,,,,,,,
"RURAL (060)",14872,211,2615,8986,519,2415,126
"Sin nivel (061)",1161,4,208,714,44,170,21
"Educación inicial (062)",38,1,12,20,,5,
"Primaria (063)",10155,39,1749,6336,346,1606,79
"Secundaria (064)",3238,58,620,1814,122,598,26
"Superior no univ. incompleta (065)",101,17,14,49,1,20,
"Superior no univ. completa (066)",107,62,7,30,2,6,
"Superior univ. incompleta (067)",37,11,3,15,2,6,
"Superior univ. completa (068)",35,19,2,8,2,4,
"Hombres (070)",12838,131,2294,8203,496,1696,18
"Sin nivel (071)",838,2,150,574,41,69,2
"Educación inicial (072)",31,,8,19,,4,
"Primaria (073)",8798,14,1538,5815,329,1091,11
"Secundaria (074)",2941,41,573,1702,120,500,5
"Superior no univ. incompleta (075)",83,8,14,44,1,16,
"Superior no univ. completa (076)",81,41,7,26,1,6,
"Superior univ. incompleta (077)",35,10,2,15,2,6,
"Superior univ. completa (078)",31,15,2,8,2,4,
"Mujeres (080)",2034,80,321,783,23,719,108
"Sin nivel (081)",323,2,58,140,3,101,19
"Educación inicial (082)",7,1,4,1,,1,
"Primaria (083)",1357,25,211,521,17,515,68
"Secundaria (084)",297,17,47,112,2,98,21
"Superior no univ. incompleta (085)",18,9,,5,,4,
"Superior no univ. completa (086)",26,21,,4,1,,
"Superior univ. incompleta (087)",2,1,1,,,,
"Superior univ. completa (088)",4,4,,,,,
