"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CELENDIN (000)",22834,309,9138,7502,2120,680,324,128,16,,2617
"Conviviente (001)",10680,164,4631,3453,879,261,127,49,4,,1112
"Separado(a) (002)",1405,27,562,446,161,56,25,7,3,,118
"Casado(a) (003)",6570,56,2681,2397,670,209,85,36,4,,432
"Viudo(a) (004)",2005,45,749,690,176,59,36,26,3,,221
"Divorciado(a) (005)",139,2,56,49,10,3,1,1,1,,16
"Soltero(a) (006)",2035,15,459,467,224,92,50,9,1,,718
,,,,,,,,,,,
"URBANA (008)",6153,63,2075,2036,761,273,141,50,6,,748
"Conviviente (009)",2265,24,875,772,220,78,43,18,1,,234
"Separado(a) (010)",483,7,173,165,73,18,6,3,2,,36
"Casado(a) (011)",1940,14,644,695,297,101,49,16,1,,123
"Viudo(a) (012)",536,14,193,179,54,22,14,6,1,,53
"Divorciado(a) (013)",38,,11,16,3,,,1,,,7
"Soltero(a) (014)",891,4,179,209,114,54,29,6,1,,295
,,,,,,,,,,,
"RURAL (016)",16681,246,7063,5466,1359,407,183,78,10,,1869
"Conviviente (017)",8415,140,3756,2681,659,183,84,31,3,,878
"Separado(a) (018)",922,20,389,281,88,38,19,4,1,,82
"Casado(a) (019)",4630,42,2037,1702,373,108,36,20,3,,309
"Viudo(a) (020)",1469,31,556,511,122,37,22,20,2,,168
"Divorciado(a) (021)",101,2,45,33,7,3,1,,1,,9
"Soltero(a) (022)",1144,11,280,258,110,38,21,3,,,423
