"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CARABAYA (000)",96,57,39
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",29,21,8
"Casa pensión (003)",4,3,1
"Hospital, clinica (004)",7,7,
"Cárcel, centro de readaptación social (005)",1,1,
"Aldea infantil, orfelinato, etc (007)",2,2,
"Otro (008)",36,15,21
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",17,8,9
