"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia TALARA",,,,,,,
"Viviendas particulares (001)",29040,3239,6873,1214,14869,1299,1546
"Ocupantes presentes (002)",127209,12427,30855,5226,66893,5344,6464
"Casa independiente",,,,,,,
"Viviendas particulares (004)",28387,3088,6672,1194,14735,1206,1492
"Ocupantes presentes (005)",124972,11915,30107,5146,66402,5109,6293
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",166,76,,3,24,51,12
"Ocupantes presentes (008)",503,258,,12,89,107,37
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",35,26,,1,5,2,1
"Ocupantes presentes (011)",137,101,,5,21,5,5
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",85,13,,8,52,9,3
"Ocupantes presentes (014)",343,52,,35,209,35,12
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",92,,82,,8,1,1
"Ocupantes presentes (017)",319,,296,,20,1,2
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",212,11,119,8,25,22,27
"Ocupantes presentes (020)",784,41,452,28,100,74,89
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",53,21,,,16,8,8
"Ocupantes presentes (023)",129,51,,,43,13,22
"Otro tipo",,,,,,,
"Viviendas particulares (025)",10,4,,,4,,2
"Ocupantes presentes (026)",22,9,,,9,,4
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",28481,3222,6656,1210,14638,1225,1530
"Ocupantes presentes (029)",125021,12363,30106,5215,65814,5114,6409
"Casa independiente",,,,,,,
"Viviendas particulares (031)",27921,3071,6537,1190,14513,1133,1477
"Ocupantes presentes (032)",123107,11851,29654,5135,65347,4880,6240
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",166,76,,3,24,51,12
"Ocupantes presentes (035)",503,258,,12,89,107,37
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",35,26,,1,5,2,1
"Ocupantes presentes (038)",137,101,,5,21,5,5
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",85,13,,8,52,9,3
"Ocupantes presentes (041)",343,52,,35,209,35,12
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",212,11,119,8,25,22,27
"Ocupantes presentes (047)",784,41,452,28,100,74,89
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",53,21,,,16,8,8
"Ocupantes presentes (050)",129,51,,,43,13,22
"Otro tipo",,,,,,,
"Viviendas particulares (052)",9,4,,,3,,2
"Ocupantes presentes (053)",18,9,,,5,,4
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",559,17,217,4,231,74,16
"Ocupantes presentes (056)",2188,64,749,11,1079,230,55
"Casa independiente",,,,,,,
"Viviendas particulares (058)",466,17,135,4,222,73,15
"Ocupantes presentes (059)",1865,64,453,11,1055,229,53
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",92,,82,,8,1,1
"Ocupantes presentes (071)",319,,296,,20,1,2
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Otro tipo",,,,,,,
"Viviendas particulares (079)",1,,,,1,,
"Ocupantes presentes (080)",4,,,,4,,
