"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CHINCHEROS (000)",11857,9671,824,616,746
"Agric., ganadería, caza y silvicultura (001)",7429,6951,330,121,27
"Explotación de minas y canteras (003)",13,11,1,,1
"Industrias manufactureras (004)",362,319,27,12,4
"Suministro de electricidad, gas y agua (005)",7,,,5,2
"Construcción (006)",456,275,102,69,10
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",888,857,26,5,
"Venta, mant.y rep. veh.autom y motoc. (008)",46,42,4,,
"Comercio al por mayor (009)",26,19,4,3,
"Comercio al por menor (010)",816,796,18,2,
"Hoteles y restaurantes (011)",243,227,14,1,1
"Trans., almac. y comunicaciones (012)",227,176,16,27,8
"Intermediación financiera (013)",21,5,4,2,10
"Activid.inmobil., empres. y alquileres (014)",91,40,15,21,15
"Admin.pub. y defensa; p. segur soc.afil (015)",330,,,,330
"Enseñanza (016)",1013,252,256,314,191
"Servicios sociales y de salud (017)",193,35,9,8,141
"Otras activ. serv.comun.soc y personales (018)",95,80,7,7,1
"Hogares privados con servicio doméstico (019)",144,144,,,
"Actividad economica no especificada (021)",345,299,17,24,5
"Hombres (022)",9377,7761,655,457,504
"Agric., ganadería, caza y silvicultura (023)",6879,6437,309,111,22
"Explotación de minas y canteras (025)",12,11,1,,
"Industrias manufactureras (026)",284,250,20,10,4
"Suministro de electricidad, gas y agua (027)",7,,,5,2
"Construcción (028)",451,273,102,66,10
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",346,324,19,3,
"Venta, mant.y rep. veh.autom y motoc. (030)",39,35,4,,
"Comercio al por mayor (031)",15,10,4,1,
"Comercio al por menor (032)",292,279,11,2,
"Hoteles y restaurantes (033)",37,32,5,,
"Trans., almac. y comunicaciones (034)",213,167,13,26,7
"Intermediación financiera (035)",15,4,4,1,6
"Activid.inmobil., empres. y alquileres (036)",78,33,14,18,13
"Admin.pub. y defensa; p. segur soc.afil (037)",272,,,,272
"Enseñanza (038)",529,82,150,193,104
"Servicios sociales y de salud (039)",85,18,3,4,60
"Otras activ. serv.comun.soc y personales (040)",28,17,7,3,1
"Hogares privados con servicio doméstico (041)",8,8,,,
"Actividad economica no especificada (043)",133,105,8,17,3
"Mujeres (044)",2480,1910,169,159,242
