"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CARLOS FERMIN FITZCARRALD (000)",19742,5831,859,8048,3506,296,582,165,455
"Jefe o Jefa (001)",5359,2040,11,1778,818,89,283,58,282
"Esposa(o)/ compa¤era(o) (002)",3467,1631,10,1080,473,56,125,19,73
"Hijo(a)/ hijastro(a) (003)",8826,1406,737,4472,1891,99,109,63,49
"Yerno/ nuera (004)",171,21,1,44,66,3,18,9,9
"Nieto(a) (005)",559,147,71,273,60,2,2,1,3
"Padres/ suegros (006)",288,260,,26,2,,,,
"Otro(a) pariente (007)",948,307,29,352,162,45,28,13,12
"Trabajador(a) del hogar (008)",18,4,,6,7,,,1,
"Pensionista (009)",29,,,1,6,,8,,14
"Otro(a) no pariente (010)",77,15,,16,21,2,9,1,13
"Hombres (012)",9520,2041,435,4152,1989,148,338,113,304
"Jefe o Jefa (013)",3731,1028,8,1474,670,66,209,50,226
"Esposa(o)/ compa¤era(o) (014)",325,90,1,102,69,10,30,3,20
"Hijo(a)/ hijastro(a) (015)",4504,660,380,2199,1084,45,64,40,32
"Yerno/ nuera (016)",89,10,,24,32,2,9,8,4
"Nieto(a) (017)",289,70,35,153,27,1,,,3
"Padres/ suegros (018)",63,47,,14,2,,,,
"Otro(a) pariente (019)",457,128,11,178,84,23,15,11,7
"Pensionista (021)",16,,,1,4,,5,,6
"Otro(a) no pariente (022)",46,8,,7,17,1,6,1,6
"Mujeres (024)",10222,3790,424,3896,1517,148,244,52,151
"Jefe o Jefa (025)",1628,1012,3,304,148,23,74,8,56
"Esposa(o)/ compa¤era(o) (026)",3142,1541,9,978,404,46,95,16,53
"Hijo(a)/ hijastro(a) (027)",4322,746,357,2273,807,54,45,23,17
"Yerno/ nuera (028)",82,11,1,20,34,1,9,1,5
"Nieto(a) (029)",270,77,36,120,33,1,2,1,
"Padres/ suegros (030)",225,213,,12,,,,,
"Otro(a) pariente (031)",491,179,18,174,78,22,13,2,5
"Trabajador(a) del hogar (032)",18,4,,6,7,,,1,
"Pensionista (033)",13,,,,2,,3,,8
"Otro(a) no pariente (034)",31,7,,9,4,1,3,,7
,,,,,,,,,
"URBANA (036)",3144,464,109,963,736,149,333,95,295
"Jefe o Jefa (037)",952,104,3,190,211,49,165,33,197
"Esposa(o)/ compa¤era(o) (038)",548,97,1,142,126,40,91,13,38
"Hijo(a)/ hijastro(a) (039)",1254,177,91,526,296,42,53,33,36
"Yerno/ nuera (040)",33,1,,5,10,1,7,3,6
"Nieto(a) (041)",64,14,10,29,9,1,,1,
"Padres/ suegros (042)",43,32,,9,2,,,,
"Otro(a) pariente (043)",170,28,4,45,52,14,9,10,8
"Trabajador(a) del hogar (044)",18,4,,6,7,,,1,
"Pensionista (045)",6,,,,4,,1,,1
"Otro(a) no pariente (046)",56,7,,11,19,2,7,1,9
"Hombres (048)",1540,159,61,445,386,65,173,62,189
"Jefe o Jefa (049)",665,49,3,125,153,34,124,30,147
