"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia DANIEL ALCIDES CARRION (000)",36502,6115,7426,6892,5630,4069,6370
"Católica (001)",29050,5076,6299,5707,4485,3171,4312
"Cristiana/Evangélica (002)",7065,974,1035,1111,1084,861,2000
"Otra (003)",153,8,32,29,31,18,35
"Ninguna (004)",234,57,60,45,30,19,23
"Hombres (006)",18194,3183,3682,3394,2807,1986,3142
"Católica (007)",14828,2644,3196,2889,2315,1591,2193
"Cristiana/Evangélica (008)",3134,492,434,462,460,370,916
"Otra (009)",82,6,16,15,18,9,18
"Ninguna (010)",150,41,36,28,14,16,15
"Mujeres (012)",18308,2932,3744,3498,2823,2083,3228
"Católica (013)",14222,2432,3103,2818,2170,1580,2119
"Cristiana/Evangélica (014)",3931,482,601,649,624,491,1084
"Otra (015)",71,2,16,14,13,9,17
"Ninguna (016)",84,16,24,17,16,3,8
,,,,,,,
"URBANA (018)",21993,3606,4351,4086,3410,2494,4046
"Católica (019)",17933,3066,3730,3460,2803,1980,2894
"Cristiana/Evangélica (020)",3771,494,549,572,565,484,1107
"Otra (021)",102,4,22,17,17,17,25
"Ninguna (022)",187,42,50,37,25,13,20
"Hombres (024)",10854,1855,2149,2022,1677,1206,1945
"Católica (025)",9018,1582,1881,1744,1415,983,1413
"Cristiana/Evangélica (026)",1663,238,226,249,242,203,505
"Otra (027)",55,3,13,7,9,9,14
"Ninguna (028)",118,32,29,22,11,11,13
"Mujeres (030)",11139,1751,2202,2064,1733,1288,2101
"Católica (031)",8915,1484,1849,1716,1388,997,1481
"Cristiana/Evangélica (032)",2108,256,323,323,323,281,602
"Otra (033)",47,1,9,10,8,8,11
"Ninguna (034)",69,10,21,15,14,2,7
,,,,,,,
"RURAL (036)",14509,2509,3075,2806,2220,1575,2324
"Católica (037)",11117,2010,2569,2247,1682,1191,1418
"Cristiana/Evangélica (038)",3294,480,486,539,519,377,893
"Otra (039)",51,4,10,12,14,1,10
"Ninguna (040)",47,15,10,8,5,6,3
"Hombres (042)",7340,1328,1533,1372,1130,780,1197
"Católica (043)",5810,1062,1315,1145,900,608,780
"Cristiana/Evangélica (044)",1471,254,208,213,218,167,411
"Otra (045)",27,3,3,8,9,,4
"Ninguna (046)",32,9,7,6,3,5,2
"Mujeres (048)",7169,1181,1542,1434,1090,795,1127
"Católica (049)",5307,948,1254,1102,782,583,638
"Cristiana/Evangélica (050)",1823,226,278,326,301,210,482
"Otra (051)",24,1,7,4,5,1,6
"Ninguna (052)",15,6,3,2,2,1,1
