"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia TUMBES (000)",2978,38,1449,915,490,86
"Sin nivel (001)",59,4,12,15,17,11
"Educación inicial (002)",5,1,1,3,,
"Primaria (003)",634,16,170,198,191,59
"Secundaria (004)",1376,17,754,433,167,5
"Superior no univ. incompleta (005)",172,,99,56,16,1
"Superior no univ. completa (006)",366,,215,107,41,3
"Superior univ. incompleta (007)",133,,85,33,13,2
"Superior univ. completa (008)",233,,113,70,45,5
"Hombres (010)",2113,26,924,679,409,75
"Sin nivel (011)",45,3,9,12,12,9
"Educación inicial (012)",3,1,,2,,
"Primaria (013)",509,11,120,159,166,53
"Secundaria (014)",1030,11,521,356,137,5
"Superior no univ. incompleta (015)",114,,62,37,14,1
"Superior no univ. completa (016)",176,,97,49,29,1
"Superior univ. incompleta (017)",83,,47,23,11,2
"Superior univ. completa (018)",153,,68,41,40,4
"Mujeres (020)",865,12,525,236,81,11
"Sin nivel (021)",14,1,3,3,5,2
"Educación inicial (022)",2,,1,1,,
"Primaria (023)",125,5,50,39,25,6
"Secundaria (024)",346,6,233,77,30,
"Superior no univ. incompleta (025)",58,,37,19,2,
"Superior no univ. completa (026)",190,,118,58,12,2
"Superior univ. incompleta (027)",50,,38,10,2,
"Superior univ. completa (028)",80,,45,29,5,1
,,,,,,
"Area Urbana (030)",2682,30,1288,835,452,77
"Sin nivel (031)",47,2,9,12,15,9
"Educación inicial (032)",4,,1,3,,
"Primaria (033)",544,15,139,174,164,52
"Secundaria (034)",1216,13,654,385,159,5
"Superior no univ. incompleta (035)",166,,94,55,16,1
"Superior no univ. completa (036)",347,,199,104,41,3
"Superior univ. incompleta (037)",132,,84,33,13,2
"Superior univ. completa (038)",226,,108,69,44,5
"Hombres (040)",1883,20,816,608,373,66
"Sin nivel (041)",36,2,7,10,10,7
"Educación inicial (042)",2,,,2,,
"Primaria (043)",429,10,98,135,140,46
"Secundaria (044)",910,8,455,312,130,5
"Superior no univ. incompleta (045)",110,,58,37,14,1
"Superior no univ. completa (046)",166,,87,49,29,1
"Superior univ. incompleta (047)",83,,47,23,11,2
"Superior univ. completa (048)",147,,64,40,39,4
"Mujeres (050)",799,10,472,227,79,11
"Sin nivel (051)",11,,2,2,5,2
"Educación inicial (052)",2,,1,1,,
"Primaria (053)",115,5,41,39,24,6
"Secundaria (054)",306,5,199,73,29,
"Superior no univ. incompleta (055)",56,,36,18,2,
"Superior no univ. completa (056)",181,,112,55,12,2
"Superior univ. incompleta (057)",49,,37,10,2,
"Superior univ. completa (058)",79,,44,29,5,1
,,,,,,
"Area Rural (060)",296,8,161,80,38,9
"Sin nivel (061)",12,2,3,3,2,2
"Educación inicial (062)",1,1,,,,
"Primaria (063)",90,1,31,24,27,7
"Secundaria (064)",160,4,100,48,8,
"Superior no univ. incompleta (065)",6,,5,1,,
"Superior no univ. completa (066)",19,,16,3,,
"Superior univ. incompleta (067)",1,,1,,,
"Superior univ. completa (068)",7,,5,1,1,
"Hombres (070)",230,6,108,71,36,9
"Sin nivel (071)",9,1,2,2,2,2
"Educación inicial (072)",1,1,,,,
"Primaria (073)",80,1,22,24,26,7
"Secundaria (074)",120,3,66,44,7,
"Superior no univ. incompleta (075)",4,,4,,,
"Superior no univ. completa (076)",10,,10,,,
"Superior univ. completa (078)",6,,4,1,1,
"Mujeres (080)",66,2,53,9,2,
"Sin nivel (081)",3,1,1,1,,
"Primaria (083)",10,,9,,1,
"Secundaria (084)",40,1,34,4,1,
"Superior no univ. incompleta (085)",2,,1,1,,
"Superior no univ. completa (086)",9,,6,3,,
"Superior univ. incompleta (087)",1,,1,,,
"Superior univ. completa (088)",1,,1,,,
