"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia YAULI (000)",12579,97,4153,4527,1519,516,179,68,8,,1512
"Catolica (001)",10244,79,3372,3667,1263,433,146,54,8,,1222
"Cristiana / Evangelica (002)",2021,17,688,744,221,69,27,13,,,242
"Otra (003)",207,1,46,87,26,10,5,1,,,31
"Ninguna (004)",107,,47,29,9,4,1,,,,17
,,,,,,,,,,,
"URBANA (006)",11220,82,3640,4069,1373,478,166,65,8,,1339
"Catolica (007)",9068,67,2924,3270,1135,402,134,52,8,,1076
"Cristiana / Evangelica (008)",1845,14,626,685,204,62,26,12,,,216
"Otra (009)",203,1,46,85,25,10,5,1,,,30
"Ninguna (010)",104,,44,29,9,4,1,,,,17
,,,,,,,,,,,
"RURAL (012)",1359,15,513,458,146,38,13,3,,,173
"Catolica (013)",1176,12,448,397,128,31,12,2,,,146
"Cristiana / Evangelica (014)",176,3,62,59,17,7,1,1,,,26
"Otra (015)",4,,,2,1,,,,,,1
"Ninguna (016)",3,,3,,,,,,,,
