"CUADRO Nº 9: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA",,,,,,,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)","CAMIÓN-CISTERNA U OTRO SIMILAR",POZO,"RÍO, ACEQUIA, MANANTIAL O SIMILAR",VECINO,OTRO
,,,,,,,,,
"Provincia FERREÑAFE",,,,,,,,,
"Viviendas particulares (001)",21689,9702,1047,1233,507,3505,4050,1427,218
"Ocupantes presentes (002)",95816,42997,4707,5207,1686,15236,19401,5805,777
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",21129,9590,1021,1146,369,3417,4006,1387,193
"Ocupantes presentes (005)",93879,42620,4636,4950,1256,14824,19222,5669,702
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",57,53,3,,,,,1,
"Ocupantes presentes (008)",190,179,9,,,,,2,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",45,27,15,,,,,3,
"Ocupantes presentes (011)",152,96,39,,,,,17,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",69,19,7,,39,,,4,
"Ocupantes presentes (014)",241,75,21,,122,,,23,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",127,,,10,,77,35,3,2
"Ocupantes presentes (017)",572,,,36,,368,150,5,13
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",253,4,1,77,99,11,9,29,23
"Ocupantes presentes (020)",770,15,2,221,308,44,29,89,62
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",9,9,,,,,,,
"Ocupantes presentes (023)",12,12,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",11947,8310,456,897,500,278,46,1279,181
"Ocupantes presentes (029)",51338,37009,1919,3623,1656,1094,154,5278,605
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",11517,8201,430,820,362,267,37,1242,158
"Ocupantes presentes (032)",49979,36638,1848,3402,1226,1050,125,5147,543
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",57,53,3,,,,,1,
"Ocupantes presentes (035)",190,179,9,,,,,2,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",45,27,15,,,,,3,
"Ocupantes presentes (038)",152,96,39,,,,,17,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",69,19,7,,39,,,4,
"Ocupantes presentes (041)",241,75,21,,122,,,23,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",253,4,1,77,99,11,9,29,23
"Ocupantes presentes (047)",770,15,2,221,308,44,29,89,62
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",6,6,,,,,,,
"Ocupantes presentes (050)",6,6,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",9742,1392,591,336,7,3227,4004,148,37
"Ocupantes presentes (056)",44478,5988,2788,1584,30,14142,19247,527,172
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",9612,1389,591,326,7,3150,3969,145,35
"Ocupantes presentes (059)",43900,5982,2788,1548,30,13774,19097,522,159
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",127,,,10,,77,35,3,2
"Ocupantes presentes (071)",572,,,36,,368,150,5,13
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",3,3,,,,,,,
"Ocupantes presentes (077)",6,6,,,,,,,
"Otro tipo",,,,,,,,,
