"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CANAS (000)",9128,1276,9,4141,2730,218,371,123,260
"Empleado (001)",815,8,,32,163,94,248,51,219
"Obrero (002)",865,39,,347,408,31,17,17,6
"Trabajador independiente (003)",4932,684,1,2549,1464,76,87,43,28
"Empleador o patrono (004)",135,17,,73,34,4,4,,3
"Trabajador familiar no remunerado (005)",2324,523,8,1124,631,12,14,8,4
"Trabajador del hogar (006)",57,5,,16,30,1,1,4,
"Hombres (008)",5833,332,3,2629,2150,165,280,93,181
"Empleado (009)",574,2,,20,118,65,184,37,148
"Obrero (010)",785,18,,312,389,29,15,16,6
"Trabajador independiente (011)",3549,261,1,1897,1204,62,68,34,22
"Empleador o patrono (012)",90,4,,46,30,4,3,,3
"Trabajador familiar no remunerado (013)",819,47,2,349,399,5,10,5,2
"Trabajador del hogar (014)",16,,,5,10,,,1,
"Mujeres (016)",3295,944,6,1512,580,53,91,30,79
"Empleado (017)",241,6,,12,45,29,64,14,71
"Obrero (018)",80,21,,35,19,2,2,1,
"Trabajador independiente (019)",1383,423,,652,260,14,19,9,6
"Empleador o patrono (020)",45,13,,27,4,,1,,
"Trabajador familiar no remunerado (021)",1505,476,6,775,232,7,4,3,2
"Trabajador del hogar (022)",41,5,,11,20,1,1,3,
,,,,,,,,,
"URBANA (024)",1797,122,3,451,641,104,215,85,176
"Empleado (025)",483,5,,12,73,48,152,39,154
"Obrero (026)",225,12,,75,99,16,8,11,4
"Trabajador independiente (027)",813,67,,278,342,35,47,28,16
"Empleador o patrono (028)",32,5,,13,9,2,3,,
"Trabajador familiar no remunerado (029)",214,31,3,66,102,2,4,4,2
"Trabajador del hogar (030)",30,2,,7,16,1,1,3,
"Hombres (032)",1098,23,,248,429,72,150,60,116
"Empleado (033)",311,1,,6,43,30,106,27,98
"Obrero (034)",196,5,,64,92,14,7,10,4
"Trabajador independiente (035)",482,15,,145,230,26,33,20,13
"Empleador o patrono (036)",20,1,,8,7,2,2,,
"Trabajador familiar no remunerado (037)",80,1,,22,51,,2,3,1
"Trabajador del hogar (038)",9,,,3,6,,,,
"Mujeres (040)",699,99,3,203,212,32,65,25,60
"Empleado (041)",172,4,,6,30,18,46,12,56
"Obrero (042)",29,7,,11,7,2,1,1,
"Trabajador independiente (043)",331,52,,133,112,9,14,8,3
"Empleador o patrono (044)",12,4,,5,2,,1,,
"Trabajador familiar no remunerado (045)",134,30,3,44,51,2,2,1,1
"Trabajador del hogar (046)",21,2,,4,10,1,1,3,
,,,,,,,,,
"RURAL (048)",7331,1154,6,3690,2089,114,156,38,84
"Empleado (049)",332,3,,20,90,46,96,12,65
"Obrero (050)",640,27,,272,309,15,9,6,2
"Trabajador independiente (051)",4119,617,1,2271,1122,41,40,15,12
"Empleador o patrono (052)",103,12,,60,25,2,1,,3
"Trabajador familiar no remunerado (053)",2110,492,5,1058,529,10,10,4,2
"Trabajador del hogar (054)",27,3,,9,14,,,1,
"Hombres (056)",4735,309,3,2381,1721,93,130,33,65
"Empleado (057)",263,1,,14,75,35,78,10,50
"Obrero (058)",589,13,,248,297,15,8,6,2
"Trabajador independiente (059)",3067,246,1,1752,974,36,35,14,9
"Empleador o patrono (060)",70,3,,38,23,2,1,,3
"Trabajador familiar no remunerado (061)",739,46,2,327,348,5,8,2,1
"Trabajador del hogar (062)",7,,,2,4,,,1,
"Mujeres (064)",2596,845,3,1309,368,21,26,5,19
"Empleado (065)",69,2,,6,15,11,18,2,15
"Obrero (066)",51,14,,24,12,,1,,
"Trabajador independiente (067)",1052,371,,519,148,5,5,1,3
"Empleador o patrono (068)",33,9,,22,2,,,,
"Trabajador familiar no remunerado (069)",1371,446,3,731,181,5,2,2,1
"Trabajador del hogar (070)",20,3,,7,10,,,,
