"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia EL COLLAO (000)",47,43,4
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",20,20,
"Casa pensión (003)",1,1,
"Hospital, clinica (004)",3,3,
"Cárcel, centro de readaptación social (005)",1,,1
"Otro (008)",14,11,3
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",8,8,
