"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SAN MARTIN (000)",179,173,6
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",117,116,1
"Casa pensión (003)",11,11,
"Hospital, clinica (004)",12,12,
"Cárcel, centro de readaptación social (005)",1,1,
"Aldea infantil, orfelinato, etc (007)",1,1,
"Otro (008)",23,20,3
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",14,12,2
