"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia TALARA (000)",113707,22441,35241,25840,22717,7468
"Hombres (001)",56992,11437,17628,12491,11780,3656
"Mujeres (002)",56715,11004,17613,13349,10937,3812
"PEA (003)",46279,460,15805,15841,12867,1306
"Hombres (004)",33756,351,11401,11241,9765,998
"Mujeres (005)",12523,109,4404,4600,3102,308
"Ocupada (006)",42659,415,13999,14884,12138,1223
"Hombres (007)",31064,321,10140,10538,9144,921
"Mujeres (008)",11595,94,3859,4346,2994,302
"Desocupada (009)",3620,45,1806,957,729,83
"Hombres (010)",2692,30,1261,703,621,77
"Mujeres (011)",928,15,545,254,108,6
"No PEA (012)",67428,21981,19436,9999,9850,6162
"Hombres (013)",23236,11086,6227,1250,2015,2658
"Mujeres (014)",44192,10895,13209,8749,7835,3504
,,,,,,
"URBANA (018)",111492,22061,34444,25313,22319,7355
"Hombres (019)",55758,11242,17201,12177,11551,3587
"Mujeres (020)",55734,10819,17243,13136,10768,3768
"PEA (021)",45219,449,15396,15496,12611,1267
"Hombres (022)",32871,340,11057,10952,9563,959
"Mujeres (023)",12348,109,4339,4544,3048,308
"Ocupada (024)",41644,407,13615,14548,11887,1187
"Hombres (025)",30218,313,9817,10256,8947,885
"Mujeres (026)",11426,94,3798,4292,2940,302
"Desocupada (027)",3575,42,1781,948,724,80
"Hombres (028)",2653,27,1240,696,616,74
"Mujeres (029)",922,15,541,252,108,6
"No PEA (030)",66273,21612,19048,9817,9708,6088
"Hombres (031)",22887,10902,6144,1225,1988,2628
"Mujeres (032)",43386,10710,12904,8592,7720,3460
,,,,,,
"RURAL (036)",2215,380,797,527,398,113
"Hombres (037)",1234,195,427,314,229,69
"Mujeres (038)",981,185,370,213,169,44
"PEA (039)",1060,11,409,345,256,39
"Hombres (040)",885,11,344,289,202,39
"Mujeres (041)",175,,65,56,54,
"Ocupada (042)",1015,8,384,336,251,36
"Hombres (043)",846,8,323,282,197,36
"Mujeres (044)",169,,61,54,54,
"Desocupada (045)",45,3,25,9,5,3
"Hombres (046)",39,3,21,7,5,3
"Mujeres (047)",6,,4,2,,
"No PEA (048)",1155,369,388,182,142,74
"Hombres (049)",349,184,83,25,27,30
"Mujeres (050)",806,185,305,157,115,44
